Site No,Site Name,Street Address,"City, State Zip",County,Enf. Issue,Resolved Date,Violation(SNC) Date
2697,LKQ Pick Your Part (1206),8125 Washington Blvd,"Jessup,MD,20794",Howard,Environmental/Health Impact,,03/16/2015
2697,LKQ Pick Your Part (1206),8125 Washington Blvd,"Jessup,MD,20794",Howard,,,
2756,Cropper Bros Lumber,7504 Main Street,"Willards,MD,21874",Wicomico,Environmental/Health Impact,06/11/2013,01/13/2012
2824,Prince Specialty Products LLC,610 Pittman Rd,"Curtis Bay,MD,21226",Anne Arundel,Environmental/Health Impact,02/16/2017,04/22/2016
2824,Prince Specialty Products LLC,610 Pittman Rd,"Curtis Bay,MD,21226",Anne Arundel,,08/29/2013,08/29/2013
2928,Hearne-Crown,28410 South Crown Rd,"Edenland,MD,21822",Wicomico,Environmental/Health Impact,09/15/2012,03/10/2009
3034,"Galvco of Maryland, LLC, dba Baltimore Galvanizing",7110 Quad Ave,"Rosedale,MD,21237",Baltimore,Environmental/Health Impact,,01/25/2010
3076,Patapsco WWTP,3501 Asiatic Ave,"Curtis Bay,MD,21226",Baltimore City,,01/28/2015,07/10/2013
3101,"Morgantown Station, LLC.",12620 Crain Hwy,"Newburg,MD,20664",Charles,Environmental/Health Impact,,09/18/2019
3101,"Morgantown Station, LLC.",12620 Crain Hwy,"Newburg,MD,20664",Charles,Environmental/Health Impact,07/07/2020,04/03/2019
3183,Ourisman Honda of Laurel,3371 Fort Meade Rd,"Laurel,MD,20724",Anne Arundel,,03/01/2017,01/04/2016
3209,William T. Burnett and Company,2112 Montevideo Road,"Jessup,MD,20794",Anne Arundel,Environmental/Health Impact,09/04/2015,04/16/2015
3293,"Locke Insulators, Inc.",2525 Insulator Drive,"Baltimore,MD,21230-5098",Baltimore City,Environmental/Health Impact,11/03/2017,01/07/2016
3306,"American Aquaculture Holdings, LLC",12041Cordova Road,"Cordova,MD,21625",Talbot,Environmental/Health Impact,04/01/2019,01/08/2018
3306,"American Aquaculture Holdings, LLC",12041Cordova Road,"Cordova,MD,21625",Talbot,Environmental/Health Impact,11/08/2011,04/14/2010
3412,World Recycling Company,5600 Columbia Park Road,"Cheverly,MD,20785",Prince George's,Environmental/Health Impact,03/10/2018,12/23/2014
3559,"Cambridge Auto Recycling, Inc",2057 Church Creek Rd,"Cambridge,MD,21613",Dorchester,Environmental/Health Impact,12/14/2015,10/28/2013
3563,"Integrity Recycling, Inc",7921 Philadelphia Rd,"Rosedale,MD,21237",Baltimore,,,06/01/2018
3630,Greenlight Biofuels,11508 E Maple Ave,"Beltsville,MD,20705",Prince George's,Environmental/Health Impact,07/24/2015,12/07/2012
3640,Eden Wood Preserving LLC,28114 Old Eden Road,"Fruitland,MD,21826",Wicomico,Environmental/Health Impact,08/09/2016,04/03/2014
3746,"Choptank Electric Cooperative, Inc.",24820 Meeting House Rd,"Denton,MD,21629",Caroline,Environmental/Health Impact,08/15/2013,02/14/2013
3944,National Security Agency,9800 Savage Road,"Fort George G. Meade,MD,20755-6000",Anne Arundel,Environmental/Health Impact,02/19/2015,11/07/2014
4013,Cambridge WWTP,1010 Roslyn Ave,"Cambridge,MD,21613",Dorchester,,04/22/2020,01/14/2020
4013,Cambridge WWTP,1010 Roslyn Ave,"Cambridge,MD,21613",Dorchester,Environmental/Health Impact,03/12/2018,11/06/2017
4013,Cambridge WWTP,1010 Roslyn Ave,"Cambridge,MD,21613",Dorchester,Environmental/Health Impact,09/09/2013,06/08/2013
4013,Cambridge WWTP,1010 Roslyn Ave,"Cambridge,MD,21613",Dorchester,,09/09/2011,01/01/2011
4019,Broadneck Water Reclamation Facility,1340 Log Inn Road,"Annapolis,MD,21409",Anne Arundel,,04/30/2019,12/28/2018
4019,Broadneck Water Reclamation Facility,1340 Log Inn Road,"Annapolis,MD,21409",Anne Arundel,,07/23/2013,05/29/2013
4107,"Clean Harbors Laurel ,LLC",3527 Whiskey Bottom Road,"Laurel,MD,20724-1403",Anne Arundel,Environmental/Health Impact,12/29/2015,06/10/2015
4116,C P Crane Generating Station,1001 Carroll Island Rd,"Middle River,MD,21220",Baltimore,Environmental/Health Impact,08/24/2015,07/14/2015
4116,C P Crane Generating Station,1001 Carroll Island Rd,"Middle River,MD,21220",Baltimore,Environmental/Health Impact,08/22/2013,02/05/2013
4162,J Lawrence Nicholson Landfill,23750 Larney Nick Rd,"Chestertown,MD,21620",Kent,Environmental/Health Impact,06/24/2015,03/17/2014
4529,"McCormick & Company, Inc.",10901 Gilroy Road,"Hunt Valley,MD,21031",Baltimore,Environmental/Health Impact,04/24/2018,11/02/2017
4880,AUTOMOTIVE MACHINE,310 Baltimore Ave,"Oakland,MD,21550",Garrett,Environmental/Health Impact,11/03/2017,03/18/2016
5030,WSSC Parkway WRRF,10100 Canadian Way,"Laurel,MD,20708",Prince George's,Environmental/Health Impact,04/29/2019,05/09/2016
5030,WSSC Parkway WRRF,10100 Canadian Way,"Laurel,MD,20708",Prince George's,Environmental/Health Impact,05/10/2013,12/17/2012
5030,WSSC Parkway WRRF,10100 Canadian Way,"Laurel,MD,20708",Prince George's,,03/12/2013,12/02/2009
5034,WSSC Western Branch WRRF,6600 Crain Hwy,"Upper Marlboro,MD,20772",Prince George's,,04/03/2019,12/28/2018
5034,WSSC Western Branch WRRF,6600 Crain Hwy,"Upper Marlboro,MD,20772",Prince George's,Environmental/Health Impact,04/29/2019,02/07/2014
5034,WSSC Western Branch WRRF,6600 Crain Hwy,"Upper Marlboro,MD,20772",Prince George's,Environmental/Health Impact,04/08/2014,12/19/2013
5034,WSSC Western Branch WRRF,6600 Crain Hwy,"Upper Marlboro,MD,20772",Prince George's,Environmental/Health Impact,12/23/2013,09/22/2013
5034,WSSC Western Branch WRRF,6600 Crain Hwy,"Upper Marlboro,MD,20772",Prince George's,Environmental/Health Impact,02/04/2013,10/15/2012
5220,Mid Atlantic Baking Co,3800 E. Baltimore street,"Baltimore,MD,21224",Baltimore City,Environmental/Health Impact,04/21/2016,08/12/2014
5287,"Dominion Energy Cove Point LNG, LP",2100 Cove Point Road,"Lusby,MD,20657",Calvert,,08/15/2013,11/28/2011
5314,WSSC Potomac WFP Water Filtration Plant,12200 River Rd,"Potomac,MD,20854",Montgomery,Environmental/Health Impact,10/03/2018,08/21/2018
5314,WSSC Potomac WFP Water Filtration Plant,12200 River Rd,"Potomac,MD,20854",Montgomery,Environmental/Health Impact,10/01/2015,04/25/2014
5314,WSSC Potomac WFP Water Filtration Plant,12200 River Rd,"Potomac,MD,20854",Montgomery,Environmental/Health Impact,11/03/2019,
5315,WSSC Seneca WRRF,12600 Great Seneca Hwy,"Germantown,MD,20874",Montgomery,,04/03/2019,12/28/2018
5315,WSSC Seneca WRRF,12600 Great Seneca Hwy,"Germantown,MD,20874",Montgomery,Environmental/Health Impact,12/23/2013,09/21/2013
5315,WSSC Seneca WRRF,12600 Great Seneca Hwy,"Germantown,MD,20874",Montgomery,,,
5462,Salisbury University,1101 Camden Avenue,"Salisbury,MD,21801-6860",Wicomico,Environmental/Health Impact,04/01/2015,10/24/2013
5535,Chesapeake High School,4798 Mountain Rd,"Pasadena,MD,21122",Anne Arundel,Environmental/Health Impact,,06/28/2019
5821,Ashburton Water Treatment Plant,3001 Druid Park Drive,"Baltimore,MD,21215",Baltimore City,Environmental/Health Impact,,03/28/2018
6191,"Valley Proteins, Inc. - Linkwood",5420 Linkwood Road,"Linkwood,MD,21835",Dorchester,Environmental/Health Impact,04/08/2019,08/27/2017
6370,Hollinswood Sunoco,3302 Annapolis Rd,"Baltimore,MD,21230",Baltimore City,Environmental/Health Impact,07/11/2012,08/13/2009
6568,College Of Southern Maryland,8730 Mitchell Rd,"La Plata,MD,20646",Charles,Environmental/Health Impact,06/21/2010,10/27/2009
6755,Transaxle (LKQ Easton),29376 Matthestown Rd,"Easton,MD,21601",Talbot,Environmental/Health Impact,,12/14/2017
7217,Bohemia Vista Yacht Basin Inc,140 Bohemia Vista Marina Rd,"Chesapeake City,MD,21915",Cecil,Environmental/Health Impact,08/05/2014,01/16/2009
7217,Bohemia Vista Yacht Basin Inc,140 Bohemia Vista Marina Rd,"Chesapeake City,MD,21915",Cecil,,08/05/2014,03/13/2008
7235,Koons Easton Toyota,6730 Ocean Gateway,"Easton,MD,21601",Talbot,Environmental/Health Impact,08/22/2013,03/03/2011
7253,Complete Recycling Group/B&H New & Used Tires,1500 W Pulaski Hwy,"Elkton,MD,21921",Cecil,,,
7692,"Fairwinds Marina, LLC",1000 Fairwinds Dr,"Annapolis,MD,21409",Anne Arundel,Environmental/Health Impact,02/05/2015,12/05/2014
7713,Independent Can Company,1300 Brass Mill Road,"Belcamp,MD,21017-0370",Harford,,,02/13/2017
7992,Salisbury WWTP/Outwall Diffuser Utility Repair,1142 Marine Road,"Salisbury,MD,21801",Wicomico,,04/03/2019,12/28/2018
7992,Salisbury WWTP/Outwall Diffuser Utility Repair,1142 Marine Road,"Salisbury,MD,21801",Wicomico,Environmental/Health Impact,12/03/2018,11/26/2018
7992,Salisbury WWTP/Outwall Diffuser Utility Repair,1142 Marine Road,"Salisbury,MD,21801",Wicomico,Environmental/Health Impact,05/23/2018,03/06/2018
7992,Salisbury WWTP/Outwall Diffuser Utility Repair,1142 Marine Road,"Salisbury,MD,21801",Wicomico,,03/28/2018,12/07/2017
8087,"Potomac German Auto, Inc",4305 Lime Kiln Rd,"Frederick,MD,21703",Frederick,Environmental/Health Impact,,01/15/2017
8134,Patterson Park Boat Lake,"200 S Linwood Ave, 2601 E Baltimore St","Highlandtown,MD,21224",Baltimore City,,02/12/2018,05/10/2013
8138,Sisson St Yard # 10 City Of Baltimore,2840 Sisson St,"Baltimore,MD,21211",Baltimore City,Environmental/Health Impact,05/21/2013,03/08/2012
8453,Ballenger-McKinney WWTP,7400 Marcie's Choice Lane,"Frederick,MD,21704",Frederick,Environmental/Health Impact,12/19/2011,01/01/2010
8455,Queenstown WWTP,120 Skipjack Cove Lane,"Queenstown,MD,21658",Queen Anne's,Environmental/Health Impact,06/17/2019,05/10/2018
8596,CITY OF CUMBERLAND,56 N Liberty St,"Cumberland,MD,21501-1702",Allegany,Environmental/Health Impact,12/04/2015,08/21/2015
8859,Baltimore City DPW - Fallsway Substation,201 Fallsway,"Baltimore,MD,21202",Baltimore City,Environmental/Health Impact,04/04/2016,09/25/2015
9060,National Archives & Records Administration,8601 Adelphi Road,"College Park,MD,20740-6001",Prince George's,Environmental/Health Impact,04/19/2016,05/24/2012
9108,Stevenson University (Villa Julie College) WWTP,1525 Greenspring Valley Rd,"Stevenson,MD,21153",Baltimore,Environmental/Health Impact,,05/22/2019
9124,Bay Bridge Marina,357 Pier One Road,"Stevensville,MD,21666",Queen Anne's,Environmental/Health Impact,,05/10/2018
9164,Mount Saint Mary's University,16300 Old Emmitsburg Rd,"Emmitsburg,MD,21727",Frederick,Environmental/Health Impact,04/27/2015,02/04/2013
9165,"Joseph Smith & Sons, Inc",2001 Kenilworth Ave,"Capitol Heights,MD,20743",Prince George's,Environmental/Health Impact,,07/10/2019
9165,"Joseph Smith & Sons, Inc",2001 Kenilworth Ave,"Capitol Heights,MD,20743",Prince George's,Environmental/Health Impact,12/19/2013,03/12/2013
9165,"Joseph Smith & Sons, Inc",2001 Kenilworth Ave,"Capitol Heights,MD,20743",Prince George's,Environmental/Health Impact,07/31/2012,09/08/2011
9229,Bel Air High School,100 Heighe St,"Bel Air,MD,21014",Harford,,12/19/2012,02/02/2010
9256,"John W. Ritter Trucking, Inc",8271 Brock Bridge Rd,"Laurel,MD,20724-1412",Anne Arundel,Environmental/Health Impact,,07/25/2013
9283,"United Iron And Metal, LLC",909 Millington Ave,"Franklin,MD,21223",Baltimore City,Environmental/Health Impact,07/01/2019,09/17/2018
9340,"Paradise Auto Parts, Inc","929 W Pulaski Hwy, Ste A","Elkton,MD,21921",Cecil,,,
9359,"Imerys Carbonates USA, Inc.",10000 B Beaver Dam Rd,"Cockeysville,MD,21030",Baltimore,Environmental/Health Impact,05/15/2013,05/15/2013
9440,Holly Hills Country Club,5502 Mussetter Road,"Ijamsville,MD,21754",Frederick,Environmental/Health Impact,05/01/2014,02/19/2009
9467,Charles County Municipal Landfill,12305 Billingsley Road,"Waldorf,MD,20602",Charles,,04/17/2015,03/25/2015
9467,Charles County Municipal Landfill,12305 Billingsley Road,"Waldorf,MD,20602",Charles,,05/15/2015,03/25/2015
9467,Charles County Municipal Landfill,12305 Billingsley Road,"Waldorf,MD,20602",Charles,Environmental/Health Impact,07/15/2016,02/06/2013
9561,"Bob's Auto Collision, Inc.",4105 Annapolis Road,"Halethorpe,MD,21227",Baltimore,Environmental/Health Impact,07/17/2018,02/28/2013
9680,Anne Arundel County Dept of Public Works/ Parking Lot,2644 Riva Rd,"Annapolis,MD,21401",Anne Arundel,Environmental/Health Impact,01/17/2013,09/21/2011
9695,Laurel Ready Mix Concrete,5501 Van Dusen Rd,"Laurel,MD,20707",Prince George's,Environmental/Health Impact,11/30/2018,06/11/2018
9791,Maryland State Police Aviation - Washington,"East Perimeter Rd, Bldg 2487","Andrews Airforce Base,MD,20762",Prince George's,Environmental/Health Impact,03/07/2013,10/22/2012
10107,North Caroline High School,10990 River Rd,"Ridgely,MD,21660",Caroline,Environmental/Health Impact,09/23/2014,10/08/2008
10214,"Shoreline Automotive, Inc",29545 Chilcutt Rd,"Easton,MD,21601",Talbot,Environmental/Health Impact,02/27/2014,03/23/2012
10261,CSX Transportation - Curtis Bay Piers,1910 Benhill Ave,"Curtis Bay,MD,21226",Baltimore City,Environmental/Health Impact,,02/25/2019
10332,Darnestown Elementary School,15030 Turkey Foot Rd,"Darnestown,MD,20878",Montgomery,Environmental/Health Impact,,03/24/2017
10400,Patuxent Water Reclamation Facility,1640 Professional blvd,"Crofton,MD,21114",Anne Arundel,Environmental/Health Impact,11/26/2013,09/09/2013
10566,ExxonMobil Oil Corporation No. 20356,120 Chester Station Lane,"Chester,MD,21619",Queen Anne's,Environmental/Health Impact,11/14/2019,08/15/2018
10585,Calvert County Board Of Commissioners,401 Sweetwater Rd,"Lusby,MD,20657",Calvert,Environmental/Health Impact,05/01/2014,03/06/2012
10610,West Nottingham Academy,1079 Firetower Road,"Colora,MD,21917",Cecil,Environmental/Health Impact,06/16/2014,09/30/2013
10856,"Toyota Motor Sales, USA, Inc",6710 Baymeadow Dr,"Glen Burnie,MD,21060",Anne Arundel,Environmental/Health Impact,09/03/2019,11/26/2018
11104,Davidsonville Transmitter Site,3290 Bottner Road,"Gambrills,MD,21054",Anne Arundel,Environmental/Health Impact,03/08/2013,12/03/2012
11313,Hampstead WWTP,4455 Northwoods Trail,"Hampstead,MD,21074",Carroll,Environmental/Health Impact,04/16/2019,01/01/2012
11433,Wawa Food Market 582,2300 E. Churchville Rd,"Bel Air,MD,21015",Harford,Environmental/Health Impact,,02/25/2019
11433,Wawa Food Market 582,2300 E. Churchville Rd,"Bel Air,MD,21015",Harford,,12/12/2017,10/21/2011
11561,Oak Hill/DC Department of General Services,8400 RIVER ROAD,"LAUREL,MD,20724",Anne Arundel,Environmental/Health Impact,05/23/2013,06/24/2008
12130,B & P Environmental LLC,1230 Cronson Blvd.,"Crofton,MD,21114",Anne Arundel,Environmental/Health Impact,,12/21/2016
12934,12934 Community Rd,12934 Community Rd,"Middle River,MD,21220",Baltimore,Environmental/Health Impact,09/16/2013,04/30/2010
13670,Quarantine Road Municipal Landfill,6100 Quarantine Road,"Curtis Bay,MD,21226",Baltimore City,Environmental/Health Impact,,01/10/2019
13670,Quarantine Road Municipal Landfill,6100 Quarantine Road,"Curtis Bay,MD,21226",Anne Arundel,,,
17147,Vessel at Schaefer's Canal House Marina,208 Bank Street,"Chesapeake City,MD,21915",Cecil,Environmental/Health Impact,11/07/2012,12/06/2007
17715,Valvoline Instant Oil Change BA-0011,57 Mayo Rd,"Edgewater,MD,21037",Anne Arundel,,,08/22/2020
17910,Liberty Square Shopping Center,8700 Liberty Road,"Randallstown,MD,21133",Baltimore,,08/13/2012,06/14/2012
18340,Columbia Country Club,7900 Connecticut Ave,"Chevy Chase,MD,20815",Montgomery,,03/16/2021,02/13/2020
18426,Mystic Harbour WWTP,9423 Stephen Decatur Hwy.,"Berlin,MD,21811",Worcester,,11/26/2018,04/30/2018
18426,Mystic Harbour WWTP,9423 Stephen Decatur Hwy.,"Berlin,MD,21811",Worcester,Environmental/Health Impact,,04/30/2018
18426,Mystic Harbour WWTP,9423 Stephen Decatur Hwy.,"Berlin,MD,21811",Worcester,Environmental/Health Impact,05/16/2018,04/30/2018
18426,Mystic Harbour WWTP,9423 Stephen Decatur Hwy.,"Berlin,MD,21811",Worcester,Environmental/Health Impact,01/07/2013,10/19/2010
18549,City of Bowie WWTP,16550 Annapolis Rd,"Bowie,MD,20715",Prince George's,,02/21/2019,12/28/2018
18549,City of Bowie WWTP,16550 Annapolis Rd,"Bowie,MD,20715",Prince George's,Environmental/Health Impact,05/01/2020,08/15/2018
18549,City of Bowie WWTP,16550 Annapolis Rd,"Bowie,MD,20715",Prince George's,Environmental/Health Impact,06/03/2016,05/03/2016
18549,City of Bowie WWTP,16550 Annapolis Rd,"Bowie,MD,20715",Prince George's,Environmental/Health Impact,08/17/2012,03/12/2010
18646,Campus Hills Shopping Center,2300-2400 Churchville Rd,"Churchville,MD,21015",Harford,Environmental/Health Impact,07/07/2014,12/20/2013
18734,Ocean City WWTP,6405 Seabay Drive,"Ocean City,MD,21842",Worcester,Environmental/Health Impact,03/27/2017,03/17/2017
18734,Ocean City WWTP,6405 Seabay Drive,"Ocean City,MD,21842",Worcester,Environmental/Health Impact,11/14/2014,08/20/2014
18734,Ocean City WWTP,6405 Seabay Drive,"Ocean City,MD,21842",Worcester,Environmental/Health Impact,04/17/2018,02/11/2009
18826,Pocomoke City WWTP,1634 Dunn Swamp Road,"Pocomoke City,MD,21851",Worcester,,04/03/2019,12/28/2018
18826,Pocomoke City WWTP,1634 Dunn Swamp Road,"Pocomoke City,MD,21851",Worcester,Environmental/Health Impact,05/03/2017,04/24/2017
18826,Pocomoke City WWTP,1634 Dunn Swamp Road,"Pocomoke City,MD,21851",Worcester,Environmental/Health Impact,10/20/2014,08/20/2014
18826,Pocomoke City WWTP,1634 Dunn Swamp Road,"Pocomoke City,MD,21851",Worcester,Environmental/Health Impact,08/24/2018,12/05/2013
18838,Hebron WWTP,26126 Rewastico Rd,"Hebron,MD,21830",Wicomico,Environmental/Health Impact,04/26/2011,06/07/2007
18883,Joppatowne WWTP,101 Shore Dr,"Joppa,MD,21085",Harford,,06/05/2012,06/24/2011
18911,Pompeian Inc.,4201 Pulaski Hwy,"Baltimore,MD,21224",Baltimore City,Environmental/Health Impact,10/07/2015,07/09/2015
18954,Mattawoman WWTP,5310 Hawthorne Road,"La Plata,MD,20646",Charles,Environmental/Health Impact,,03/25/2019
