OBJECTID,mde6digt,mde6name,mde8digt,mde8name,dnr12dig,straname,hua14,hua11,hua8,cbi
"1158","021405",UPPER POTOMAC RIVER,"02140511",Fifteen Mile Creek,"021405110145",UPPER POTOMAC,"02070003100151","02070003100","02070003",0.000000000000000
"1159","021399",CHESAPEAKE BAY  (PROPER),"02139998",Lower Chesapeake Bay,"021399981118",NOT A STRATEGY SHED,"02060005240603","02060005240","02060005",0.000000000000000
"1160","021405",UPPER POTOMAC RIVER,"02140511",Fifteen Mile Creek,"021405110144",UPPER POTOMAC,"02070003100153","02070003100","02070003",3.250000000000000
"1161","021405",UPPER POTOMAC RIVER,"02140511",Fifteen Mile Creek,"021405110146",UPPER POTOMAC,"02070003100151","02070003100","02070003",0.000000000000000
"1162","021405",UPPER POTOMAC RIVER,"02140511",Fifteen Mile Creek,"021405110137",UPPER POTOMAC,"02070003100158","02070003100","02070003",4.130682000000000
"1163","021405",UPPER POTOMAC RIVER,"02140511",Fifteen Mile Creek,"021405110147",UPPER POTOMAC,"02070003130201","02070003130","02070003",2.125000000000000
"1164","021405",UPPER POTOMAC RIVER,"02140510",Sideling Hill Creek,"021405100152",UPPER POTOMAC,"02070003130202","02070003130","02070003",1.875000000000000
"1165","021405",UPPER POTOMAC RIVER,"02140501",Potomac River WA Cnty,"021405010155",UPPER POTOMAC,"02070004120127","02070004120","02070004",2.000000000000000
"1166","021410",NORTH BRANCH POTOMAC RIVER,"02141003",Wills Creek,"021410030098",UPPER POTOMAC,"02070002070155","02070002070","02070002",0.000000000000000
"1167","021405",UPPER POTOMAC RIVER,"02140510",Sideling Hill Creek,"021405100151",UPPER POTOMAC,"02070003130226","02070003130","02070003",3.625000000000000
"1168","021405",UPPER POTOMAC RIVER,"02140509",Little Tonoloway Creek,"021405090153",UPPER POTOMAC,"02070004120100","02070004120","02070004",2.550926000000000
"1169","021410",NORTH BRANCH POTOMAC RIVER,"02141003",Wills Creek,"021410030100",UPPER POTOMAC,"02070002070156","02070002070","02070002",3.083333000000000
"1170","021405",UPPER POTOMAC RIVER,"02140509",Little Tonoloway Creek,"021405090154",UPPER POTOMAC,"02070004120151","02070004120","02070004",3.072917000000000
"1171","021306",ELK RIVER,"02130607",Christina River,"021306070381",NOT A STRATEGY SHED,"02040205040101","02040205040","02040205",2.888889000000000
"1172","021401",LOWER POTOMAC RIVER,"02140106",Wicomico River,"021401060741",LOWER POTOMAC,"02070011140152","02070011140","02070011",0.000000000000000
"1173","021405",UPPER POTOMAC RIVER,"02140507",Tonoloway Creek,"021405070168",UPPER POTOMAC,"02070004120176","02070004120","02070004",0.000000000000000
"1174","021306",ELK RIVER,"02130606",Big Elk Creek,"021306060386",UPPER EASTERN SHORE,"02060002100028","02060002100","02060002",3.507937000000000
"1175","021405",UPPER POTOMAC RIVER,"02140501",Potomac River WA Cnty,"021405010157",UPPER POTOMAC,"02070004120202","02070004120","02070004",2.572917000000000
"1176","021405",UPPER POTOMAC RIVER,"02140501",Potomac River WA Cnty,"021405010158",UPPER POTOMAC,"02070004120203","02070004120","02070004",2.458333000000000
"1177","021405",UPPER POTOMAC RIVER,"02140506",Licking Creek,"021405060172",UPPER POTOMAC,"02070004220251","02070004220","02070004",0.000000000000000
"1178","021306",ELK RIVER,"02130605",Little Elk Creek,"021306050384",UPPER EASTERN SHORE,"02060002100051","02060002100","02060002",3.541667000000000
"1179","021405",UPPER POTOMAC RIVER,"02140506",Licking Creek,"021405060170",UPPER POTOMAC,"02070004220252","02070004220","02070004",0.000000000000000
"1180","021405",UPPER POTOMAC RIVER,"02140506",Licking Creek,"021405060173",UPPER POTOMAC,"02070004220301","02070004220","02070004",3.250000000000000
"1181","021405",UPPER POTOMAC RIVER,"02140506",Licking Creek,"021405060171",UPPER POTOMAC,"02070004220226","02070004220","02070004",2.325000000000000
"1182","021306",ELK RIVER,"02130608",Northeast River,"021306080377",UPPER EASTERN SHORE,"02060002100077","02060002100","02060002",4.400000000000000
"1183","021306",ELK RIVER,"02130608",Northeast River,"021306080379",UPPER EASTERN SHORE,"02060002100101","02060002100","02060002",3.566667000000000
"1184","021405",UPPER POTOMAC RIVER,"02140510",Sideling Hill Creek,"021405100150",UPPER POTOMAC,"02070003130203","02070003130","02070003",2.566667000000000
"1185","021405",UPPER POTOMAC RIVER,"02140506",Licking Creek,"021405060169",UPPER POTOMAC,"02070004220253","02070004220","02070004",3.041667000000000
"1186","021410",NORTH BRANCH POTOMAC RIVER,"02141003",Wills Creek,"021410030101",UPPER POTOMAC,"02070002070159","02070002070","02070002",3.916667000000000
"1187","021405",UPPER POTOMAC RIVER,"02140505",Little Conococheague,"021405050176",UPPER POTOMAC,"02070004310326","02070004310","02070004",2.450000000000000
"1188","021405",UPPER POTOMAC RIVER,"02140505",Little Conococheague,"021405050175",UPPER POTOMAC,"02070004310327","02070004310","02070004",3.125000000000000
"1189","021405",UPPER POTOMAC RIVER,"02140504",Conococheague Creek,"021405040184",UPPER POTOMAC,"02070004310377","02070004310","02070004",2.666667000000000
"1190","021202",LOWER SUSQUEHANNA RIVER,"02120203",Octoraro Creek,"021202030347",UPPER WESTERN SHORE,"02050306220226","02050306220","02050306",3.250000000000000
"1191","021405",UPPER POTOMAC RIVER,"02140504",Conococheague Creek,"021405040182",UPPER POTOMAC,"02070004310379","02070004310","02070004",0.000000000000000
"1192","021202",LOWER SUSQUEHANNA RIVER,"02120204",Conowingo Dam Susq R,"021202040336",UPPER WESTERN SHORE,"02050306220151","02050306220","02050306",0.000000000000000
"1193","021202",LOWER SUSQUEHANNA RIVER,"02120203",Octoraro Creek,"021202030345",UPPER WESTERN SHORE,"02050306220229","02050306220","02050306",4.166667000000000
"1194","021405",UPPER POTOMAC RIVER,"02140504",Conococheague Creek,"021405040183",UPPER POTOMAC,"02070004310376","02070004310","02070004",0.000000000000000
"1195","021202",LOWER SUSQUEHANNA RIVER,"02120204",Conowingo Dam Susq R,"021202040335",UPPER WESTERN SHORE,"02050306220152","02050306220","02050306",3.416667000000000
"1196","021405",UPPER POTOMAC RIVER,"02140511",Fifteen Mile Creek,"021405110139",UPPER POTOMAC,"02070003100155","02070003100","02070003",2.500000000000000
"1197","021202",LOWER SUSQUEHANNA RIVER,"02120204",Conowingo Dam Susq R,"021202040337",UPPER WESTERN SHORE,"02050306220131","02050306220","02050306",0.000000000000000
"1198","021405",UPPER POTOMAC RIVER,"02140502",Antietam Creek,"021405020203",UPPER POTOMAC,"02070004310376","02070004310","02070004",0.000000000000000
"1199","021202",LOWER SUSQUEHANNA RIVER,"02120205",Broad Creek,"021202050340",UPPER WESTERN SHORE,"02050306220130","02050306220","02050306",3.000000000000000
"1200","021405",UPPER POTOMAC RIVER,"02140502",Antietam Creek,"021405020202",UPPER POTOMAC,"02070004440452","02070004440","02070004",2.375000000000000
"1201","050202",YOUGHIOGHENY RIVER,"05020204",Casselman River,"050202040032",NOT A STRATEGY SHED,"05020006050153","05020006050","05020006",3.473958000000000
"1202","021202",LOWER SUSQUEHANNA RIVER,"02120205",Broad Creek,"021202050342",UPPER WESTERN SHORE,"02050306220127","02050306220","02050306",0.000000000000000
"1203","021403",MIDDLE POTOMAC RIVER,"02140303",Upper Monocacy River,"021403030258",UPPER POTOMAC,"02070009030101","02070009030","02070009",2.541667000000000
"1204","021202",LOWER SUSQUEHANNA RIVER,"02120205",Broad Creek,"021202050343",UPPER WESTERN SHORE,"02050306220128","02050306220","02050306",3.444444000000000
"1205","021202",LOWER SUSQUEHANNA RIVER,"02120204",Conowingo Dam Susq R,"021202040338",UPPER WESTERN SHORE,"02050306220126","02050306220","02050306",0.000000000000000
"1206","021202",LOWER SUSQUEHANNA RIVER,"02120202",Deer Creek,"021202020329",UPPER WESTERN SHORE,"02050306200179","02050306200","02050306",3.416667000000000
"1207","021405",UPPER POTOMAC RIVER,"02140511",Fifteen Mile Creek,"021405110140",UPPER POTOMAC,"02070003100160","02070003100","02070003",3.125000000000000
"1208","021202",LOWER SUSQUEHANNA RIVER,"02120202",Deer Creek,"021202020331",UPPER WESTERN SHORE,"02050306200178","02050306200","02050306",4.062500000000000
"1209","020503",CONEWAGO CREEK,"02050301",Conewago Creek,"020503010289",UPPER POTOMAC,"02050306010026","02050306010","02050306",0.000000000000000
"1210","021405",UPPER POTOMAC RIVER,"02140502",Antietam Creek,"021405020198",UPPER POTOMAC,"02070004440451","02070004440","02070004",2.604167000000000
"1211","021202",LOWER SUSQUEHANNA RIVER,"02120202",Deer Creek,"021202020330",UPPER WESTERN SHORE,"02050306200177","02050306200","02050306",3.708333000000000
"1212","021403",MIDDLE POTOMAC RIVER,"02140303",Upper Monocacy River,"021403030267",UPPER POTOMAC,"02070009040129","02070009040","02070009",3.541667000000000
"1213","021405",UPPER POTOMAC RIVER,"02140510",Sideling Hill Creek,"021405100149",UPPER POTOMAC,"02070003130204","02070003130","02070003",3.694444000000000
"1214","021202",LOWER SUSQUEHANNA RIVER,"02120202",Deer Creek,"021202020332",UPPER WESTERN SHORE,"02050306200176","02050306200","02050306",3.133333000000000
"1215","021405",UPPER POTOMAC RIVER,"02140502",Antietam Creek,"021405020204",UPPER POTOMAC,"02070004400449","02070004400","02070004",0.000000000000000
"1216","021405",UPPER POTOMAC RIVER,"02140502",Antietam Creek,"021405020205",UPPER POTOMAC,"02070004400448","02070004400","02070004",2.000000000000000
"1217","021403",MIDDLE POTOMAC RIVER,"02140303",Upper Monocacy River,"021403030259",UPPER POTOMAC,"02070009030104","02070009030","02070009",2.375000000000000
"1218","021308",GUNPOWDER RIVER,"02130805",Loch Raven Reservoir,"021308050311",UPPER WESTERN SHORE,"02060003120127","02060003120","02060003",4.500000000000000
"1219","021403",MIDDLE POTOMAC RIVER,"02140303",Upper Monocacy River,"021403030260",UPPER POTOMAC,"02070009030102","02070009030","02070009",2.156250000000000
"1220","021306",ELK RIVER,"02130608",Northeast River,"021306080378",UPPER EASTERN SHORE,"02060002100076","02060002100","02060002",4.166667000000000
"1221","021403",MIDDLE POTOMAC RIVER,"02140303",Upper Monocacy River,"021403030257",UPPER POTOMAC,"02070009040130","02070009040","02070009",3.312500000000000
"1222","021308",GUNPOWDER RIVER,"02130805",Loch Raven Reservoir,"021308050312",UPPER WESTERN SHORE,"02060003120126","02060003120","02060003",3.833333000000000
"1223","021308",GUNPOWDER RIVER,"02130806",Prettyboy Reservoir,"021308060316",UPPER WESTERN SHORE,"02060003120176","02060003120","02060003",3.750000000000000
"1224","050202",YOUGHIOGHENY RIVER,"05020201",Youghiogheny River,"050202010018",NOT A STRATEGY SHED,"05020006010120","05020006010","05020006",4.243056000000000
"1225","021403",MIDDLE POTOMAC RIVER,"02140303",Upper Monocacy River,"021403030261",UPPER POTOMAC,"02070009040127","02070009040","02070009",0.000000000000000
"1226","021403",MIDDLE POTOMAC RIVER,"02140303",Upper Monocacy River,"021403030262",UPPER POTOMAC,"02070009040124","02070009040","02070009",3.916667000000000
"1227","021308",GUNPOWDER RIVER,"02130806",Prettyboy Reservoir,"021308060317",UPPER WESTERN SHORE,"02060003120151","02060003120","02060003",3.633333000000000
"1228","020503",CONEWAGO CREEK,"02050301",Conewago Creek,"020503010290",UPPER POTOMAC,"02050306050101","02050306050","02050306",0.000000000000000
"1229","021403",MIDDLE POTOMAC RIVER,"02140303",Upper Monocacy River,"021403030266",UPPER POTOMAC,"02070009040130","02070009040","02070009",0.000000000000000
"1230","021403",MIDDLE POTOMAC RIVER,"02140303",Upper Monocacy River,"021403030264",UPPER POTOMAC,"02070009040126","02070009040","02070009",3.416667000000000
"1231","021403",MIDDLE POTOMAC RIVER,"02140303",Upper Monocacy River,"021403030265",UPPER POTOMAC,"02070009040130","02070009040","02070009",0.000000000000000
"1232","021403",MIDDLE POTOMAC RIVER,"02140303",Upper Monocacy River,"021403030263",UPPER POTOMAC,"02070009040125","02070009040","02070009",0.000000000000000
"1233","021403",MIDDLE POTOMAC RIVER,"02140303",Upper Monocacy River,"021403030256",UPPER POTOMAC,"02070009040128","02070009040","02070009",2.083333000000000
"1234","021405",UPPER POTOMAC RIVER,"02140511",Fifteen Mile Creek,"021405110143",UPPER POTOMAC,"02070003100154","02070003100","02070003",0.000000000000000
"1235","021403",MIDDLE POTOMAC RIVER,"02140304",Double Pipe Creek,"021403040285",UPPER POTOMAC,"02070009050156","02070009050","02070009",2.791667000000000
"1236","021405",UPPER POTOMAC RIVER,"02140512",Town Creek,"021405120132",UPPER POTOMAC,"02070003060128","02070003060","02070003",0.000000000000000
"1237","021202",LOWER SUSQUEHANNA RIVER,"02120203",Octoraro Creek,"021202030346",UPPER WESTERN SHORE,"02050306220228","02050306220","02050306",3.000000000000000
"1238","021405",UPPER POTOMAC RIVER,"02140501",Potomac River WA Cnty,"021405010159",UPPER POTOMAC,"02070004120204","02070004120","02070004",1.750000000000000
"1239","021405",UPPER POTOMAC RIVER,"02140502",Antietam Creek,"021405020201",UPPER POTOMAC,"02070004440426","02070004440","02070004",3.291667000000000
"1240","021202",LOWER SUSQUEHANNA RIVER,"02120205",Broad Creek,"021202050339",UPPER WESTERN SHORE,"02050306220132","02050306220","02050306",3.520833000000000
"1241","021306",ELK RIVER,"02130606",Big Elk Creek,"021306060387",UPPER EASTERN SHORE,"02060002100026","02060002100","02060002",4.583333000000000
"1242","021410",NORTH BRANCH POTOMAC RIVER,"02141002",Evitts Creek,"021410020106",UPPER POTOMAC,"02070002130228","02070002130","02070002",3.854167000000000
"1243","021410",NORTH BRANCH POTOMAC RIVER,"02141002",Evitts Creek,"021410020105",UPPER POTOMAC,"02070002130229","02070002130","02070002",2.041667000000000
"1244","021405",UPPER POTOMAC RIVER,"02140511",Fifteen Mile Creek,"021405110141",UPPER POTOMAC,"02070003100161","02070003100","02070003",3.208333000000000
"1245","021405",UPPER POTOMAC RIVER,"02140504",Conococheague Creek,"021405040181",UPPER POTOMAC,"02070004310380","02070004310","02070004",2.687500000000000
"1246","021405",UPPER POTOMAC RIVER,"02140502",Antietam Creek,"021405020200",UPPER POTOMAC,"02070004440427","02070004440","02070004",0.000000000000000
"1247","021403",MIDDLE POTOMAC RIVER,"02140304",Double Pipe Creek,"021403040288",UPPER POTOMAC,"02070009050154","02070009050","02070009",0.000000000000000
"1248","021308",GUNPOWDER RIVER,"02130806",Prettyboy Reservoir,"021308060313",UPPER WESTERN SHORE,"02060003120179","02060003120","02060003",3.990196000000000
"1249","021405",UPPER POTOMAC RIVER,"02140508",Potomac River AL Cnty,"021405080121",UPPER POTOMAC,"02070004120126","02070004120","02070004",0.000000000000000
"1250","021405",UPPER POTOMAC RIVER,"02140504",Conococheague Creek,"021405040180",UPPER POTOMAC,"02070004310381","02070004310","02070004",2.583333000000000
"1251","021306",ELK RIVER,"02130605",Little Elk Creek,"021306050382",UPPER EASTERN SHORE,"02060002100053","02060002100","02060002",3.633333000000000
"1252","021405",UPPER POTOMAC RIVER,"02140504",Conococheague Creek,"021405040179",UPPER POTOMAC,"02070004310382","02070004310","02070004",2.125000000000000
"1253","050202",YOUGHIOGHENY RIVER,"05020201",Youghiogheny River,"050202010016",NOT A STRATEGY SHED,"05020006010116","05020006010","05020006",3.902778000000000
"1254","021202",LOWER SUSQUEHANNA RIVER,"02120205",Broad Creek,"021202050341",UPPER WESTERN SHORE,"02050306220129","02050306220","02050306",3.166667000000000
"1255","021410",NORTH BRANCH POTOMAC RIVER,"02141006",Savage River,"021410060083",UPPER POTOMAC,"02070002050127","02070002050","02070002",2.950000000000000
"1256","021405",UPPER POTOMAC RIVER,"02140501",Potomac River WA Cnty,"021405010156",UPPER POTOMAC,"02070004120201","02070004120","02070004",0.000000000000000
"1257","021410",NORTH BRANCH POTOMAC RIVER,"02141004",Georges Creek,"021410040094",UPPER POTOMAC,"02070002080176","02070002080","02070002",2.100000000000000
"1258","021403",MIDDLE POTOMAC RIVER,"02140304",Double Pipe Creek,"021403040287",UPPER POTOMAC,"02070009050152","02070009050","02070009",3.750000000000000
"1259","021202",LOWER SUSQUEHANNA RIVER,"02120204",Conowingo Dam Susq R,"021202040333",UPPER WESTERN SHORE,"02050306220133","02050306220","02050306",3.666667000000000
"1260","021403",MIDDLE POTOMAC RIVER,"02140304",Double Pipe Creek,"021403040279",UPPER POTOMAC,"02070009050161","02070009050","02070009",1.687500000000000
"1261","021308",GUNPOWDER RIVER,"02130805",Loch Raven Reservoir,"021308050309",UPPER WESTERN SHORE,"02060003120129","02060003120","02060003",3.648148000000000
"1262","021403",MIDDLE POTOMAC RIVER,"02140304",Double Pipe Creek,"021403040286",UPPER POTOMAC,"02070009050151","02070009050","02070009",2.854167000000000
"1263","021403",MIDDLE POTOMAC RIVER,"02140303",Upper Monocacy River,"021403030253",UPPER POTOMAC,"02070009060176","02070009060","02070009",2.750000000000000
"1264","021410",NORTH BRANCH POTOMAC RIVER,"02141001",Potomac River L N Branch,"021410010065",UPPER POTOMAC,"02070002130251","02070002130","02070002",2.708333000000000
"1265","050202",YOUGHIOGHENY RIVER,"05020201",Youghiogheny River,"050202010017",NOT A STRATEGY SHED,"05020006010117","05020006010","05020006",2.125000000000000
"1266","021403",MIDDLE POTOMAC RIVER,"02140303",Upper Monocacy River,"021403030255",UPPER POTOMAC,"02070009040131","02070009040","02070009",2.333333000000000
"1267","021306",ELK RIVER,"02130608",Northeast River,"021306080376",UPPER EASTERN SHORE,"02060002100102","02060002100","02060002",3.476190000000000
"1268","021405",UPPER POTOMAC RIVER,"02140511",Fifteen Mile Creek,"021405110142",UPPER POTOMAC,"02070003100162","02070003100","02070003",3.500000000000000
"1269","021405",UPPER POTOMAC RIVER,"02140501",Potomac River WA Cnty,"021405010160",UPPER POTOMAC,"02070004120205","02070004120","02070004",2.194444000000000
"1270","021405",UPPER POTOMAC RIVER,"02140510",Sideling Hill Creek,"021405100148",UPPER POTOMAC,"02070003130205","02070003130","02070003",4.177083000000000
"1271","021405",UPPER POTOMAC RIVER,"02140508",Potomac River AL Cnty,"021405080119",UPPER POTOMAC,"02070003130252","02070003130","02070003",0.000000000000000
"1272","021410",NORTH BRANCH POTOMAC RIVER,"02141003",Wills Creek,"021410030097",UPPER POTOMAC,"02070002070158","02070002070","02070002",2.968750000000000
"1273","021306",ELK RIVER,"02130609",Furnace Bay,"021306090380",UPPER EASTERN SHORE,"02060002100151","02060002100","02060002",4.175439000000000
"1274","021405",UPPER POTOMAC RIVER,"02140512",Town Creek,"021405120130",UPPER POTOMAC,"02070003060127","02070003060","02070003",3.486111000000000
"1275","021410",NORTH BRANCH POTOMAC RIVER,"02141006",Savage River,"021410060082",UPPER POTOMAC,"02070002050129","02070002050","02070002",4.000000000000000
"1276","050202",YOUGHIOGHENY RIVER,"05020204",Casselman River,"050202040033",NOT A STRATEGY SHED,"05020006050154","05020006050","05020006",3.625000000000000
"1277","021403",MIDDLE POTOMAC RIVER,"02140303",Upper Monocacy River,"021403030250",UPPER POTOMAC,"02070009060177","02070009060","02070009",2.875000000000000
"1278","021405",UPPER POTOMAC RIVER,"02140508",Potomac River AL Cnty,"021405080118",UPPER POTOMAC,"02070003130251","02070003130","02070003",2.319444000000000
"1279","021403",MIDDLE POTOMAC RIVER,"02140304",Double Pipe Creek,"021403040284",UPPER POTOMAC,"02070009050153","02070009050","02070009",3.583333000000000
"1280","021405",UPPER POTOMAC RIVER,"02140502",Antietam Creek,"021405020199",UPPER POTOMAC,"02070004440453","02070004440","02070004",1.333333000000000
"1281","021405",UPPER POTOMAC RIVER,"02140512",Town Creek,"021405120129",UPPER POTOMAC,"02070003060129","02070003060","02070003",2.658333000000000
"1282","021403",MIDDLE POTOMAC RIVER,"02140303",Upper Monocacy River,"021403030249",UPPER POTOMAC,"02070009060201","02070009060","02070009",1.500000000000000
"1283","021202",LOWER SUSQUEHANNA RIVER,"02120204",Conowingo Dam Susq R,"021202040334",UPPER WESTERN SHORE,"02050306220230","02050306220","02050306",0.000000000000000
"1284","021403",MIDDLE POTOMAC RIVER,"02140304",Double Pipe Creek,"021403040283",UPPER POTOMAC,"02070009050157","02070009050","02070009",3.458333000000000
"1285","021405",UPPER POTOMAC RIVER,"02140505",Little Conococheague,"021405050174",UPPER POTOMAC,"02070004310328","02070004310","02070004",3.791667000000000
"1286","021405",UPPER POTOMAC RIVER,"02140511",Fifteen Mile Creek,"021405110138",UPPER POTOMAC,"02070003100156","02070003100","02070003",3.625000000000000
"1287","021202",LOWER SUSQUEHANNA RIVER,"02120203",Octoraro Creek,"021202030344",UPPER WESTERN SHORE,"02050306220227","02050306220","02050306",3.685185000000000
"1288","021308",GUNPOWDER RIVER,"02130805",Loch Raven Reservoir,"021308050310",UPPER WESTERN SHORE,"02060003120128","02060003120","02060003",3.833333000000000
"1289","021202",LOWER SUSQUEHANNA RIVER,"02120201",L Susquehanna River,"021202010319",UPPER WESTERN SHORE,"02050306220251","02050306220","02050306",3.126984000000000
"1290","021405",UPPER POTOMAC RIVER,"02140512",Town Creek,"021405120127",UPPER POTOMAC,"02070003060132","02070003060","02070003",2.819444000000000
"1291","021410",NORTH BRANCH POTOMAC RIVER,"02141001",Potomac River L N Branch,"021410010061",UPPER POTOMAC,"02070002100208","02070002100","02070002",3.666667000000000
"1292","021202",LOWER SUSQUEHANNA RIVER,"02120202",Deer Creek,"021202020327",UPPER WESTERN SHORE,"02050306200180","02050306200","02050306",4.375000000000000
"1293","021403",MIDDLE POTOMAC RIVER,"02140304",Double Pipe Creek,"021403040278",UPPER POTOMAC,"02070009050160","02070009050","02070009",2.941667000000000
"1294","021405",UPPER POTOMAC RIVER,"02140511",Fifteen Mile Creek,"021405110135",UPPER POTOMAC,"02070003100163","02070003100","02070003",3.944444000000000
"1295","021403",MIDDLE POTOMAC RIVER,"02140303",Upper Monocacy River,"021403030254",UPPER POTOMAC,"02070009040132","02070009040","02070009",2.645833000000000
"1296","021410",NORTH BRANCH POTOMAC RIVER,"02141003",Wills Creek,"021410030095",UPPER POTOMAC,"02070002070154","02070002070","02070002",0.000000000000000
"1297","021410",NORTH BRANCH POTOMAC RIVER,"02141002",Evitts Creek,"021410020104",UPPER POTOMAC,"02070002130230","02070002130","02070002",2.229167000000000
"1298","021308",GUNPOWDER RIVER,"02130806",Prettyboy Reservoir,"021308060315",UPPER WESTERN SHORE,"02060003120177","02060003120","02060003",4.270833000000000
"1299","021405",UPPER POTOMAC RIVER,"02140511",Fifteen Mile Creek,"021405110136",UPPER POTOMAC,"02070003100157","02070003100","02070003",3.116667000000000
"1300","050202",YOUGHIOGHENY RIVER,"05020204",Casselman River,"050202040030",NOT A STRATEGY SHED,"05020006050151","05020006050","05020006",2.541667000000000
"1301","021410",NORTH BRANCH POTOMAC RIVER,"02141004",Georges Creek,"021410040093",UPPER POTOMAC,"02070002080177","02070002080","02070002",2.687500000000000
"1302","021405",UPPER POTOMAC RIVER,"02140508",Potomac River AL Cnty,"021405080120",UPPER POTOMAC,"02070003130253","02070003130","02070003",3.166667000000000
"1303","021405",UPPER POTOMAC RIVER,"02140504",Conococheague Creek,"021405040178",UPPER POTOMAC,"02070004310383","02070004310","02070004",1.972222000000000
"1304","050202",YOUGHIOGHENY RIVER,"05020201",Youghiogheny River,"050202010015",NOT A STRATEGY SHED,"05020006010115","05020006010","05020006",2.945833000000000
"1305","021410",NORTH BRANCH POTOMAC RIVER,"02141006",Savage River,"021410060081",UPPER POTOMAC,"02070002050128","02070002050","02070002",3.833333000000000
"1306","021202",LOWER SUSQUEHANNA RIVER,"02120202",Deer Creek,"021202020328",UPPER WESTERN SHORE,"02050306200201","02050306200","02050306",3.851852000000000
"1307","021410",NORTH BRANCH POTOMAC RIVER,"02141006",Savage River,"021410060079",UPPER POTOMAC,"02070002050131","02070002050","02070002",3.562500000000000
"1308","021405",UPPER POTOMAC RIVER,"02140512",Town Creek,"021405120126",UPPER POTOMAC,"02070003060133","02070003060","02070003",2.145833000000000
"1309","021405",UPPER POTOMAC RIVER,"02140501",Potomac River WA Cnty,"021405010163",UPPER POTOMAC,"02070004220278","02070004220","02070004",2.013889000000000
"1310","021311",PATUXENT RIVER,"02131104",Patuxent River upper,"021311040936",PATUXENT,"02060006020019","02060006020","02060006",0.000000000000000
"1311","021410",NORTH BRANCH POTOMAC RIVER,"02141001",Potomac River L N Branch,"021410010060",UPPER POTOMAC,"02070002100208","02070002100","02070002",0.000000000000000
