Site.No,Site.Name,Street.Address,County,city,state,zip,Type,ObjectId,x,y
20178,Schuster Concrete -Monument Street Plant,3625 E Monument Street,Baltimore City,Baltimore,MD,21205,Violation,128,-76.5674480035892,39.2987399964914
20182,Poolesville WWTP,18901 Fisher Ave.,Montgomery,Poolesville,MD,20837,Violation,129,-77.3949649733809,39.1325639885342
20249,The Recycling Center,14852 Old Gunpowder Road,Prince George's,Laurel,MD,20707,Violation,130,-76.9135291581603,39.0943736063118
20253,Calvert County Industrial Park WWTP,300 Skipjack Rd,Calvert,Prince Frederick,MD,20678,Violation,131,-76.6413000302327,38.5140980120581
20293,"Maryland Concrete Septic Tank, Inc",21616 York Rd,Baltimore,Maryland Line,MD,21105,Violation,132,-76.657361013689,39.7162640095116
20304,"Rockville Fuel and Feed Co., Inc.",14901 Southlawn Lane,Montgomery,Rockville,MD,20850,Violation,133,-77.1349949654894,39.09970898124
20369,David Bramble @Campbell Soup Site,27030 Morgnec Road,Kent,Chestertown,MD,21620,Violation,134,-76.0334030050327,39.242768999917
20433,Baltimore Yacht Club,800 Baltimore Yacht Club Rd,Baltimore,Essex,MD,21221,Violation,135,-76.3962649819619,39.287958019186
20487,Spring Cove Marina,455 Lore Rd,Calvert,Solomons,MD,20688,Violation,136,-76.4625609742218,38.3350609794878
20507,SO Sanitary District-Ewell WWTP,"3786 Smith Island Rd, Smith Island",Somerset,Ewell,MD,21824,Violation,137,-76.0410749616139,37.9885940057352
20568,Princess Anne WWTP,30353 Linden Avenue,Somerset,Princess Anne,MD,21853,Violation,138,-75.6999370339304,38.1973629904493
20603,APG-Edgewood Area,Edgewood Area-Aberdeen Proving Ground,Harford,Aberdeen Proving Ground,MD,21010,Violation,139,-76.29362000022,39.4138300000358
20701,Perdue Inc,521 Willow St,Wicomico,Salisbury,MD,21801,Violation,140,-75.6052503081388,38.3659524219712
20723,Camp Shadowbrook,46 Camp Shadowbrook Rd,Cecil,Conowingo,MD,21918,Violation,141,-76.1919720172894,39.7002660155357
20735,The Nelson Company,2116 Sparrows Point Rd,Baltimore,Edgemere,MD,21219-1798,Violation,142,-76.4616099637631,39.2339050112007
20744,Hanover Foods Corp,502 Factory Ave,Caroline,Ridgely,MD,21660,Violation,143,-75.8920915259027,38.9441702260116
20765,Oakland WWTP,27 Oakland Rosedale Rd,Garrett,Oakland,MD,21550,Violation,144,-79.4176880265985,39.4146200173989
20824,Goose Creek Food Store,10137 Old Ocean City Blvd,Worcester,Berlin,MD,21811,Violation,145,-75.211820004174,38.3354799906476
20834,Freedom District WWTP,1301 Raincliff Rd.,Carroll,Sykesville,MD,21784,Violation,146,-76.9466499968717,39.3620509839123
20937,Back Creek Boat Yard,13836 South Solomons Island Rd,Calvert,Solomons,MD,20688,Violation,147,-76.4661457337024,38.3386550359354
21012,C & D Concrete - Salisbury,1000 Parsons Rd,Wicomico,Salisbury,MD,21801,Violation,148,-75.6141912006358,38.3641646511906
21037,Ceco Utilities WWTP,91 Johnstown Road,Cecil,Elkton,MD,21921,Violation,149,-75.8450100088867,39.6517379815972
21041,"Lawrence Street Industry, LLC",3310 Kenilworth Ave,Prince George's,Hyattsville,MD,20781,Violation,150,-76.933751002367,38.9298539883415
21045,Worton - Butlertown WWTP,25310 Chinquapin Rd,Kent,Worton,MD,21678,Violation,151,-76.0943439808821,39.2623982688282
2928,Hearne-Crown,28410 South Crown Rd,Wicomico,Edenland,MD,21822,Violation,152,-75.6275049859346,38.3088270054393
23511,One Town Center,4201 Northview Dr,Prince George's,Bowie,MD,20716,Violation,153,-76.7362392490944,38.9477524948576
23521,Fairmount WWTP,8104 Hall's Creek Rd,Somerset,Westover,MD,21871,Violation,154,-75.8022469638343,38.1048789984908
23540,Sheehy Lexus of Annapolis,121 Ferguson Rd,Anne Arundel,Annapolis,MD,21409,Violation,155,-76.4780659867555,39.0194890132345
3034,"Galvco of Maryland, LLC, dba Baltimore Galvanizing",7110 Quad Ave,Baltimore,Rosedale,MD,21237,Violation,156,-76.5184950065788,39.3057250134761
23545,Mirant - Westland Flyash Site,20831 Martinsburg Rd,Montgomery,Dickerson,MD,20842,Violation,157,-77.4465883033031,39.1975003894946
23546,Chesapeake City North WWTP,90 Boatyard Rd,Cecil,Chesapeake City,MD,21915,Violation,158,-75.8173299056267,39.5323988645617
3076,Patapsco WWTP,3501 Asiatic Ave,Baltimore City,Curtis Bay,MD,21226,Violation,159,-76.5630800263685,39.2332500075321
23547,Trout Run WWTP,1156 Norris Welch Rd,Garrett,Oakland,MD,21550,Violation,160,-79.3892730394524,39.3883890188497
3101,"Morgantown Station, LLC.",12620 Crain Hwy,Charles,Newburg,MD,20664,Violation,161,-76.9725000378617,38.3599699841731
23550,Maryland Manor Mobile Home Park WWTP,4642 Sands Rd,Anne Arundel,Harwood,MD,20776,Violation,162,-76.689131025165,38.8558680186089
3183,Ourisman Honda of Laurel,3371 Fort Meade Rd,Anne Arundel,Laurel,MD,20724,Violation,163,-76.7952130537104,39.0952680542487
23551,GenOn MD Ash Management LLC-Faulkner Flyash Management Site,10200 Faulkner Road,Charles,Faulkner,MD,20664,Violation,164,-76.9706833973206,38.4335245899878
3209,William T. Burnett and Company,2112 Montevideo Road,Anne Arundel,Jessup,MD,20794,Violation,165,-76.7643959894609,39.1633350024908
23555,Hernwood Landfill,10900 Furman Lane,Baltimore,Woodstock,MD,21163,Violation,166,-76.8698760389682,39.36097101741
3293,"Locke Insulators, Inc.",2525 Insulator Drive,Baltimore City,Baltimore,MD,21230-5098,Violation,167,-76.6116629614993,39.2597459995519
23567,Rock Hall WWTP,north Main St. & Anderson Ave.,Kent,Rock Hall,MD,21661,Violation,168,-76.2364898978931,39.1461600217478
3306,"American Aquaculture Holdings, LLC",12041Cordova Road,Talbot,Cordova,MD,21625,Violation,169,-75.9917300269501,38.8793720067762
23569,Centreville WWTP,101 Lawyers Row,Queen Anne's,Centreville,MD,21617,Violation,170,-76.0655010004021,39.0447630075613
3412,World Recycling Company,5600 Columbia Park Road,Prince George's,Cheverly,MD,20785,Violation,171,-76.910731865451,38.9170389386728
23574,USDA East Side WWTP,"Bldg 218, Beaver Dam Road",Prince George's,Beltsville,MD,20705,Violation,172,-76.8727331675603,39.0269969931671
3559,"Cambridge Auto Recycling, Inc",2057 Church Creek Rd,Dorchester,Cambridge,MD,21613,Violation,173,-76.1319196432409,38.5169334926173
23575,USDA West Side WWTP,Bldg 015; 3rd St & South Dr,Prince George's,Beltsville,MD,20705,Violation,174,-76.9282798822994,39.0261000294315
23576,"Harwood Landfill, Inc.",4431 Sands Rd,Anne Arundel,Harwood,MD,20776,Violation,175,-76.6679709948485,38.8590039823132
23636,Chesapeake City South WWTP,307 2nd St,Cecil,Chesapeake City,MD,21915,Violation,176,-75.8135209589905,39.5277340103429
23637,Bel Alton WWTP,9225 Twinberry Drive,Charles,Bel Alton,MD,20611,Violation,177,-76.995235027772,38.4624340148069
23638,Berlin WWTP,9210 Bottle Branch Rd,Worcester,Berlin,MD,21811,Violation,178,-75.2047717065722,38.3190669596051
23641,Tylerton WWTP,"3039 Union Church Rd, Smith Island",Somerset,Tylerton,MD,21866,Violation,179,-76.0227821470718,37.967499395504
23647,Maybelle Manor Moblie Home Park,218 Mount Zoar Rd,Cecil,Conowingo,MD,21918,Violation,180,-76.1848267196031,39.6824674046064
23649,Gerstell Academy,2500 Old Westminster Pike,Carroll,Finksburg,MD,21048,Violation,181,-76.9035059942736,39.5120049918222
23651,Vienna WWTP,113 Levin-Dorsey Rd,Dorchester,Vienna,MD,21869,Violation,182,-75.8297150000084,38.4864349997443
23652,Newark WWTP,7025 Worcester Hwy,Worcester,Newark,MD,21841,Violation,183,-75.2926870161937,38.2465956330576
23657,Preston WWTP,105 Back Landing Rd,Caroline,Preston,MD,21655,Violation,184,-75.906528986841,38.7070119983369
23658,Federalsburg Wastewater Treatment Plant,125 Kerney Street,Caroline,Federalsburg,MD,21632,Violation,185,-75.7696209917415,38.6904470105608
23659,Greensboro WWTP,13514 Greensboro Rd (rte 313),Caroline,Greensboro,MD,21639,Violation,186,-75.8022179617253,38.9784969804
23664,Church Hill WWTP,MD Rte 213,Queen Anne's,Church Hill,MD,21623,Violation,187,-75.9873456033732,39.143204370787
23665,Pheasant Ridge MHC LLC,7848 East Hill Rd,Frederick,Mount Airy,MD,21771,Violation,188,-77.1480554195899,39.3585620957998
23666,Sharptown WWTP,408 Little Water St,Wicomico,Sharptown,MD,21861,Violation,189,-75.7196697041424,38.5430039565752
23668,Morning Cheer Sandy Cove Ministries,60 Sandy Cove Rd,Cecil,North East,MD,21901,Violation,190,-75.9675230064113,39.5432140027456
23669,Fruitland Wastewater Treatment Plant,200 Shady Ln,Wicomico,Fruitland,MD,21826,Violation,191,-75.6320639863072,38.3336469942102
23670,Holiday Mobile Estates WWTP,7810 Clark Rd & Keith Lane,Anne Arundel,Jessup,MD,20794,Violation,192,-76.7423199012351,39.1455400545996
23684,Tolchester WWTP,22010 Bay Shore Rd,Kent,Chestertown,MD,21620,Violation,193,-76.2067799901632,39.2382710193734
23686,Somerset County Landfill - Fairmount Site,8716 James Ring Road,Somerset,Westover,MD,21871,Violation,194,-75.7334799856039,38.1205650176202
23689,"Shuler's All Pro Car Wash, Inc.",11070 Cathell Rd.,Worcester,Berlin,MD,21811,Violation,195,-75.1694100051132,38.3776700069177
23692,Attention To Detail Auto Salon,120 N Paradise Road,Harford,Havre De Grace,MD,21078,Violation,196,-76.1688659602847,39.5657169814669
23872,John J. DiFonzo Water Reclamation Facility,400 E Offutt St,Allegany,Cumberland,MD,21502,Violation,197,-78.7586678076124,39.6252026444091
23922,Severn School,201 Water St,Anne Arundel,Severna Park,MD,21146,Violation,198,-76.5483299723726,39.0688539804617
24035,Cox Creek WWTP,8833 Wagner Station Road,Anne Arundel,Curtis Bay,MD,21226,Violation,199,-76.5341620410538,39.1742829833533
24046,Anne Arundel County School Transportation Garage,8229 Waterford Road,Anne Arundel,Pasadena,MD,21122,Violation,200,-76.5598489704462,39.1221210167613
