"","Site.No","Site.Name","Street.Address","City..State.Zip","County","Enforcement.Action","Enforcement.Action.No","Enforcement.Action.Issued","Case.Closed","Media","Program","Latitude","Longitude"
"18",1872,"Westminster City Of","City Hall","Westminster,MD,21157","Carroll","Penalty Settlement",NA,"01/13/2013","02/15/2013","Surface Water Discharge Unauthorized","Collection System (SSO)",39.5714849999448,-76.9962149999154
"19",1873,"Luke Paper Company","300 Pratt Street","Luke,MD,21540-1099","Allegany","Settlement Agreement","SAP-16-2396","04/27/2016","05/25/2016","Pretreatment","Industrial Major",39.4753500069262,-79.0567600074916
"20",1873,"Luke Paper Company","300 Pratt Street","Luke,MD,21540-1099","Allegany","Complaint, Order, Penalty",NA,"12/16/2019","07/06/2020","Surface Water Discharge Unauthorized","Industrial Major",39.4753500069262,-79.0567600074916
"21",1873,"Luke Paper Company","300 Pratt Street","Luke,MD,21540-1099","Allegany","Complaint, Order, Penalty",NA,"05/28/2020",NA,"Surface Water Discharge Unauthorized","Industrial Major",39.4753500069262,-79.0567600074916
"22",1916,"City of Hagerstown WWTP/Pangborn Park Lake Silt Disposal Site","1 Clean Water Circle","Hagerstown,MD,21740","Washington","Penalty Settlement","PS-15-2238","03/26/2015","05/07/2015","Surface Water Discharge Unauthorized","Collection System (SSO)",39.6218199934291,-77.7080200040108
"23",1916,"City of Hagerstown WWTP/Pangborn Park Lake Silt Disposal Site","1 Clean Water Circle","Hagerstown,MD,21740","Washington","Penalty Settlement","PS-17-2451","04/04/2017","04/21/2017","Surface Water Discharge Unauthorized","Collection System (SSO)",39.6218199934291,-77.7080200040108
"24",1916,"City of Hagerstown WWTP/Pangborn Park Lake Silt Disposal Site","1 Clean Water Circle","Hagerstown,MD,21740","Washington",NA,"PS-20-2644","04/28/2020","08/14/2020","Surface Water Discharge Unauthorized","Collection System (SSO)",39.6218199934291,-77.7080200040108
"25",1919,"GenOn Chalk Point LLC Generating Station","25100 Chalk Point Road","Aquasco,MD,20608","Prince George's","Consent Decree","CO-17-2422","08/26/2016",NA,"Surface Water Discharge Permit","Industrial Major",38.5435235635236,-76.6840318112182
"26",1919,"GenOn Chalk Point LLC Generating Station","25100 Chalk Point Road","Aquasco,MD,20608","Prince George's",NA,"SP-21-2681","11/02/2020","11/10/2020","Surface Water Discharge Permit","Industrial Major",38.5435235635236,-76.6840318112182
"27",1974,"Elkton WWTP","200 W Pulaski Hwy","Elkton,MD,21921","Cecil","Penalty Settlement","PS-15-2178","11/14/2014","01/16/2015","Surface Water Discharge Unauthorized","Collection System (SSO)",39.6009760023203,-75.8342570330019
"28",2102,"W. R. Grace & Co. - Davison Chemical","5500 Chemical Rd","Curtis Bay,MD,21226-1698","Baltimore City","Penalty Settlement","PS-13-1793","10/26/2012","12/01/2012","Surface Water Discharge Permit","Industrial Major",39.2158770046668,-76.5709829874199
"29",2184,"Congoleum Corporation","2700 Emory Road","Finksburg,MD,21048","Carroll","Penalty Settlement","PS-13-1948","06/10/2013","08/12/2013","Surface Water Discharge Permit",NA,39.5004400186042,-76.8833299991806
"30",2193,"Alliant Techsystems Operations LLC","55 Thiokol Road","Elkton,MD,21921","Cecil","Penalty Settlement","PS-15-2169","10/30/2014","12/04/2014","Surface Water Discharge Unauthorized","Collection System (SSO)",39.6111220023147,-75.8645599599733
"31",2254,"Hi Tech Color Inc","1721 Midway Road","Odenton,MD,21113","Anne Arundel","Penalty Settlement","SAP-17-2432","01/25/2017","01/31/2017","Surface Water Discharge Permit","Industrial Stormwater",39.1082229832765,-76.6961060265278
"32",2345,"AMG Resources Corporation","2415 Grays Road","Dundalk,MD,21222","Baltimore","Penalty Settlement",NA,NA,"09/23/2016","Not Applicable","Industrial Stormwater",39.2446990167512,-76.4644360061548
"33",2468,"Brian Baker, Inc","2001 Conowingo Rd","Bel Air,MD,21014","Harford","Settlement Agreement","SA-20-2624","12/17/2019","12/17/2019","Non-Tidal Wetlands;Surface Water Discharge Permit","Industrial Stormwater",39.5769219937366,-76.3498190122296
"34",2756,"Cropper Bros Lumber","7504 Main Street","Willards,MD,21874","Wicomico","Consent Order","COP-13-1946","06/11/2013","09/13/2016","Surface Water Discharge Permit;Surface Water Discharge Unauthorized","Industrial Stormwater",38.3963759837995,-75.3510089664086
"35",2824,"Prince Specialty Products LLC","610 Pittman Rd","Curtis Bay,MD,21226","Anne Arundel","Consent Order","CA-14-1986","09/03/2013","09/12/2016","Surface Water Discharge Permit","Industrial Major",39.1951739970149,-76.5631800223344
"36",2824,"Prince Specialty Products LLC","610 Pittman Rd","Curtis Bay,MD,21226","Anne Arundel","Consent Order","COP-16-2410","06/29/2016","02/09/2017","Surface Water Discharge Permit","Industrial Major",39.1951739970149,-76.5631800223344
"37",2824,"Prince Specialty Products LLC","610 Pittman Rd","Curtis Bay,MD,21226","Anne Arundel","Penalty Settlement","C-17-2453","02/16/2017","04/17/2017","Sediment",NA,39.1951739970149,-76.5631800223344
"38",2928,"Hearne-Crown","28410 South Crown Rd","Edenland,MD,21822","Wicomico","Consent Order","CO-13-1758","09/14/2012","01/14/2016","Surface Water Discharge Permit","Municipal Minor",38.3088270054393,-75.6275049859346
"39",2975,"Abf Freight System, Inc.","6720 Washington Blvd","Elkridge,MD,21075","Howard",NA,NA,NA,NA,"Stormwater Management","Industrial Stormwater",39.1986539958178,-76.7428610364808
"40",3076,"Patapsco WWTP","3501 Asiatic Ave","Curtis Bay,MD,21226","Baltimore City","Consent Order","CO-15-2208","01/28/2015",NA,"Surface Water Discharge Permit","Municipal Major",39.2332500075321,-76.5630800263685
"41",3076,"Patapsco WWTP","3501 Asiatic Ave","Curtis Bay,MD,21226","Baltimore City","Administrative Order","COP-16-2405","06/08/2016",NA,"Surface Water Discharge Permit","Municipal Major",39.2332500075321,-76.5630800263685
"42",3076,"Patapsco WWTP","3501 Asiatic Ave","Curtis Bay,MD,21226","Baltimore City","Compliance Order","SP-19-2545","07/31/2018","10/01/2018","Surface Water Discharge Permit","Municipal Major",39.2332500075321,-76.5630800263685
"43",3183,"Ourisman Honda of Laurel","3371 Fort Meade Rd","Laurel,MD,20724","Anne Arundel","Penalty Settlement","PS-17-2433","02/01/2017","03/07/2017","Groundwater Discharge Permit","Industrial Minor",39.0952680542487,-76.7952130537104
"44",3209,"William T. Burnett and Company","2112 Montevideo Road","Jessup,MD,20794","Anne Arundel","Penalty Settlement","PS-16-2307","09/04/2015","09/23/2015","Surface Water Discharge Unauthorized","Industrial Stormwater",39.1633350024908,-76.7643959894609
"45",3306,"American Aquaculture Holdings, LLC","12041Cordova Road","Cordova,MD,21625","Talbot","Penalty Settlement","PS-19-2585","04/30/2019","05/20/2019","Groundwater Discharge Permit","Industrial Minor",38.8793720067762,-75.9917300269501
"46",3412,"World Recycling Company","5600 Columbia Park Road","Cheverly,MD,20785","Prince George's","Consent Order","SA-18-2531","04/30/2018",NA,"Surface Water Discharge Unauthorized","Industrial Stormwater",38.9170389386728,-76.910731865451
"47",3630,"Greenlight Biofuels","11508 E Maple Ave","Beltsville,MD,20705","Prince George's","Criminal","AO-14-2071","07/24/2015","10/16/2015","Surface Water Discharge Unauthorized","Industrial Minor",39.0428297636579,-76.9022588514866
"48",3640,"Eden Wood Preserving LLC","28114 Old Eden Road","Fruitland,MD,21826","Wicomico","Administrative Order","CO-17-2415","07/28/2016","04/01/2019","Groundwater Discharge Permit;Non-Tidal Wetlands;Sediment","Industrial Minor",38.2911467558656,-75.6391811936745
"49",3746,"Choptank Electric Cooperative, Inc.","24820 Meeting House Rd","Denton,MD,21629","Caroline","Penalty Settlement","OPS-14-1978","08/15/2013","09/03/2013","Groundwater Discharge Permit","Industrial Minor",38.8920749903161,-75.8425240201525
"50",3944,"National Security Agency","9800 Savage Road","Fort George G. Meade,MD,20755-6000","Anne Arundel","Penalty Settlement","C-15-2220","02/19/2015","03/06/2015","Sediment",NA,39.1087649991742,-76.7708580177623
"51",4013,"Cambridge WWTP","1010 Roslyn Ave","Cambridge,MD,21613","Dorchester","Administrative Order","CO-12-1462","09/09/2011","06/30/2014","Surface Water Discharge Permit",NA,38.5648099931342,-76.0589000009296
"52",4013,"Cambridge WWTP","1010 Roslyn Ave","Cambridge,MD,21613","Dorchester","Penalty Settlement","PS-18-2519","03/23/2018","05/15/2018","Surface Water Discharge Permit;Surface Water Discharge Unauthorized","Collection System (SSO)",38.5648099931342,-76.0589000009296
"53",4013,"Cambridge WWTP","1010 Roslyn Ave","Cambridge,MD,21613","Dorchester","Penalty Settlement","PS-18-2519","03/23/2018","05/15/2018","Surface Water Discharge Permit;Surface Water Discharge Unauthorized","Municipal Major",38.5648099931342,-76.0589000009296
"54",4013,"Cambridge WWTP","1010 Roslyn Ave","Cambridge,MD,21613","Dorchester",NA,NA,"02/28/2020","08/31/2020","Surface Water Discharge Permit;Surface Water Discharge Unauthorized","Collection System (SSO)",38.5648099931342,-76.0589000009296
"55",4013,"Cambridge WWTP","1010 Roslyn Ave","Cambridge,MD,21613","Dorchester",NA,NA,"02/28/2020","08/31/2020","Surface Water Discharge Permit;Surface Water Discharge Unauthorized","Municipal Minor",38.5648099931342,-76.0589000009296
"56",4017,"Broadwater Water Reclamation Facility","1161 Deep Cove Road","Churchton,MD,20733","Anne Arundel","Consent Order","CO-12-1583","02/03/2012","11/22/2017","Surface Water Discharge Permit","Municipal Major",38.8118269851047,-76.5226899817505
"57",4019,"Broadneck Water Reclamation Facility","1340 Log Inn Road","Annapolis,MD,21409","Anne Arundel","Consent Order","CO-14-1964","07/22/2013","11/22/2017","Surface Water Discharge Permit","Municipal Major",39.0256780008973,-76.4068580307766
"58",4023,"Annapolis Water Reclamation Facility","7228 Edgewood Road","Annapolis,MD,21401","Anne Arundel","Consent Order","CO-12-1584","02/12/2012","11/22/2017","Surface Water Discharge Permit","Municipal Major",38.957926993777,-76.4803290163311
"59",4107,"Clean Harbors Laurel ,LLC","3527 Whiskey Bottom Road","Laurel,MD,20724-1403","Anne Arundel","Penalty Settlement","PS-16-2354","12/29/2015","01/20/2016","Surface Water Discharge Unauthorized","Industrial Stormwater",39.10145501579,-76.8154990286453
"60",4116,"C P Crane Generating Station","1001 Carroll Island Rd","Middle River,MD,21220","Baltimore","Penalty Settlement","PA-13-1959","08/22/2013","10/02/2013","Surface Water Discharge Permit","Industrial Major",39.324273997449,-76.3653869724103
"61",4116,"C P Crane Generating Station","1001 Carroll Island Rd","Middle River,MD,21220","Baltimore","Penalty Settlement","PS-16-2306","08/26/2015","09/23/2015","Surface Water Discharge Unauthorized","Industrial Major",39.324273997449,-76.3653869724103
"62",4162,"J Lawrence Nicholson Landfill","23750 Larney Nick Rd","Chestertown,MD,21620","Kent","Consent Order","CO-15-2277","06/24/2015","06/27/2016","Surface Water Discharge Permit","Industrial Minor",39.2447749984266,-76.1438039861406
"63",4162,"J Lawrence Nicholson Landfill","23750 Larney Nick Rd","Chestertown,MD,21620","Kent","Consent Order","CO-16-2407","06/20/2016",NA,"Surface Water Discharge Permit","Municipal Minor",39.2447749984266,-76.1438039861406
"64",4162,"J Lawrence Nicholson Landfill","23750 Larney Nick Rd","Chestertown,MD,21620","Kent",NA,"SP-21-2678","10/08/2020","11/30/2020","Groundwater Discharge Permit","Municipal Minor",39.2447749984266,-76.1438039861406
"65",4232,"Maryland City Water Reclamation Facility","462 Brock Bridge Road","Laurel,MD,20724","Anne Arundel","Consent Order","CO-12-1582","02/03/2012","11/22/2017","Surface Water Discharge Permit","Municipal Major",39.0826829889981,-76.8261130324607
"66",5030,"WSSC Parkway WRRF","10100 Canadian Way","Laurel,MD,20708","Prince George's","Penalty Settlement","PS-13-1884","03/13/2013","04/17/2013","Notice of Intent;Sediment","Notice of Intent (Construction)",39.0603075403765,-76.832011797316
"67",5030,"WSSC Parkway WRRF","10100 Canadian Way","Laurel,MD,20708","Prince George's","Penalty Settlement","PS-19-2590","05/22/2019","06/20/2019","Surface Water Discharge Unauthorized","Municipal Minor",39.0603075403765,-76.832011797316
"68",5034,"WSSC Western Branch WRRF","6600 Crain Hwy","Upper Marlboro,MD,20772","Prince George's","Penalty Settlement","PS-13-1833","01/10/2013","02/15/2013","Notice of Intent;Sediment","Notice of Intent (Construction)",38.7982144587497,-76.7574908294164
"69",5034,"WSSC Western Branch WRRF","6600 Crain Hwy","Upper Marlboro,MD,20772","Prince George's","Consent Order","CO-14-2048","12/23/2013","01/18/2017","Surface Water Discharge Permit","Municipal Major",38.7982144587497,-76.7574908294164
"70",5034,"WSSC Western Branch WRRF","6600 Crain Hwy","Upper Marlboro,MD,20772","Prince George's","Penalty Settlement","C-14-2077","04/08/2014","05/01/2014","Notice of Intent;Sediment","Notice of Intent (Construction)",38.7982144587497,-76.7574908294164
"71",5034,"WSSC Western Branch WRRF","6600 Crain Hwy","Upper Marlboro,MD,20772","Prince George's","Penalty Settlement","PS-19-2590","05/22/2019","06/20/2019","Surface Water Discharge Unauthorized","Municipal Major",38.7982144587497,-76.7574908294164
"72",5287,"Dominion Energy Cove Point LNG, LP","2100 Cove Point Road","Lusby,MD,20657","Calvert","Penalty Settlement",NA,"08/15/2013","09/05/2013","Surface Water Discharge Permit","Industrial Minor",38.3891980157526,-76.4071290174635
"73",5314,"WSSC Potomac WFP Water Filtration Plant","12200 River Rd","Potomac,MD,20854","Montgomery","Consent Decree","CJ-16-2399","04/15/2016",NA,"Surface Water Discharge Permit","Municipal Minor",39.0400540129101,-77.2535510351044
"74",5314,"WSSC Potomac WFP Water Filtration Plant","12200 River Rd","Potomac,MD,20854","Montgomery",NA,NA,"11/03/2019","12/09/2019","Not Assigned",NA,39.0400540129101,-77.2535510351044
"75",5315,"WSSC Seneca WRRF","12600 Great Seneca Hwy","Germantown,MD,20874","Montgomery","Consent Order","CO-14-2047","12/23/2013","01/17/2017","Surface Water Discharge Permit","Municipal Major",39.1426829986669,-77.2756429660186
"76",6191,"Valley Proteins, Inc. - Linkwood","5420 Linkwood Road","Linkwood,MD,21835","Dorchester","Penalty Settlement","PS-19-2586","04/30/2019","05/16/2019","Surface Water Discharge Permit;Surface Water Discharge Unauthorized","Industrial Minor",38.556001815953,-75.9355451984404
"77",7692,"Fairwinds Marina, LLC","1000 Fairwinds Dr","Annapolis,MD,21409","Anne Arundel","Penalty Settlement","PS-15-2212","02/05/2015","03/03/2015","Tidal Wetlands",NA,39.0505000012979,-76.4518459683275
"78",7992,"Salisbury WWTP/Outwall Diffuser Utility Repair","1142 Marine Road","Salisbury,MD,21801","Wicomico","Consent Decree","SP-14-1980","09/05/2013","12/06/2013","Surface Water Discharge Permit","Municipal Major",38.3561850100143,-75.6244450042767
"79",7992,"Salisbury WWTP/Outwall Diffuser Utility Repair","1142 Marine Road","Salisbury,MD,21801","Wicomico","Stipulated Penalty","SP-14-1980","09/05/2013","07/18/2017","Surface Water Discharge Permit","Municipal Major",38.3561850100143,-75.6244450042767
"80",7992,"Salisbury WWTP/Outwall Diffuser Utility Repair","1142 Marine Road","Salisbury,MD,21801","Wicomico","Administrative Order","PS-17-2462","04/20/2017","06/21/2017","Surface Water Discharge Unauthorized","Collection System (SSO)",38.3561850100143,-75.6244450042767
"81",7992,"Salisbury WWTP/Outwall Diffuser Utility Repair","1142 Marine Road","Salisbury,MD,21801","Wicomico","Stipulated Penalty","SP-18-2525","05/23/2018","06/11/2018","Surface Water Discharge Permit;Surface Water Discharge Unauthorized","Collection System (SSO)",38.3561850100143,-75.6244450042767
"82",7992,"Salisbury WWTP/Outwall Diffuser Utility Repair","1142 Marine Road","Salisbury,MD,21801","Wicomico","Stipulated Penalty","SP-18-2525","05/23/2018","06/11/2018","Surface Water Discharge Permit;Surface Water Discharge Unauthorized","Industrial Major",38.3561850100143,-75.6244450042767
"83",7992,"Salisbury WWTP/Outwall Diffuser Utility Repair","1142 Marine Road","Salisbury,MD,21801","Wicomico","Stipulated Penalty","SP-19-2566","12/28/2018","01/14/2019","Surface Water Discharge Unauthorized","Municipal Major",38.3561850100143,-75.6244450042767
"84",8138,"Sisson St Yard # 10 City Of Baltimore","2840 Sisson St","Baltimore,MD,21211","Baltimore City","Penalty Settlement","PS-13-1923","05/21/2013","06/14/2013","Surface Water Discharge Unauthorized",NA,39.3201140168274,-76.6262130235635
"85",8220,"Camp Fretterd State Army and Command Center","13700 Hanover Pike, 5401 Rue Saint Lo Dr","Reisterstown,MD,21136","Baltimore","Penalty Settlement",NA,NA,"07/13/2016","Not Applicable","Municipal Minor",39.5027320081751,-76.8429970353124
"86",8449,"Back River WWTP","8201 Eastern Ave","Baltimore,MD,21224","Baltimore",NA,"COP-16-2405","06/08/2016",NA,"Surface Water Discharge Permit","Municipal Major",39.2995400072669,-76.4943599869084
"87",8453,"Ballenger-McKinney WWTP","7400 Marcie's Choice Lane","Frederick,MD,21704","Frederick","Consent Order","CO-12-1543","12/19/2011","01/04/2018","Surface Water Discharge Permit","Municipal Major",39.3643809851411,-77.4092489930855
"88",8455,"Queenstown WWTP","120 Skipjack Cove Lane","Queenstown,MD,21658","Queen Anne's","Penalty Settlement","PS-19-2594","07/17/2019","07/29/2019","Surface Water Discharge Permit","Municipal Minor",38.9896429835292,-76.1598180308267
"89",8596,"CITY OF CUMBERLAND","56 N Liberty St","Cumberland,MD,21501-1702","Allegany","Penalty Settlement","C-16-2347","12/04/2015","12/23/2015","Sediment",NA,39.6520992442076,-78.7622741095919
"90",9164,"Mount Saint Mary's University","16300 Old Emmitsburg Rd","Emmitsburg,MD,21727","Frederick","Consent Order","COP-15-2244","04/27/2015","07/13/2016","Surface Water Discharge Permit","Municipal Minor",39.6842950116367,-77.3506699674941
"91",9165,"Joseph Smith & Sons, Inc","2001 Kenilworth Ave","Capitol Heights,MD,20743","Prince George's","Penalty Settlement","PS-14-2033","12/19/2013","01/16/2014","Surface Water Discharge Unauthorized","Industrial Stormwater",38.9161251016854,-76.9309016585752
"92",9283,"United Iron And Metal, LLC","909 Millington Ave","Franklin,MD,21223","Baltimore City","Settlement Agreement","SA-19-2593","07/01/2019","07/17/2019","Surface Water Discharge Permit","Industrial Minor",39.2779410162266,-76.6562430360634
"93",9359,"Imerys Carbonates USA, Inc.","10000 B Beaver Dam Rd","Cockeysville,MD,21030","Baltimore","Penalty Settlement","PS-13-1885","05/15/2013","06/15/2013","Surface Water Discharge Unauthorized",NA,39.4645599829417,-76.6456599612433
"94",9440,"Holly Hills Country Club","5502 Mussetter Road","Ijamsville,MD,21754","Frederick","Consent Order","COP-14-2085","04/30/2014","04/08/2016","Surface Water Discharge Permit","Industrial Minor",39.3854750084688,-77.309318015853
"95",9467,"Charles County Municipal Landfill","12305 Billingsley Road","Waldorf,MD,20602","Charles","Penalty Settlement","PS-15-2258","05/11/2015","07/06/2015","Notice of Intent","Notice of Intent (Construction)",38.5718100138303,-76.8837200090494
"96",9467,"Charles County Municipal Landfill","12305 Billingsley Road","Waldorf,MD,20602","Charles","Penalty Settlement","PS-15-2251","05/11/2015","07/01/2015","Notice of Intent","Notice of Intent (Construction)",38.5718100138303,-76.8837200090494
"97",9561,"Bob's Auto Collision, Inc.","4105 Annapolis Road","Halethorpe,MD,21227","Baltimore","Penalty Settlement","PS-19-2542","07/17/2018","08/15/2018","Surface Water Discharge Unauthorized","Industrial Minor",39.2386940119599,-76.6408410369365
"98",9680,"Anne Arundel County Dept of Public Works/ Parking Lot","2644 Riva Rd","Annapolis,MD,21401","Anne Arundel","Penalty Settlement",NA,"01/18/2013","02/07/2013","Surface Water Discharge Unauthorized","Industrial Minor",38.9762469844468,-76.5594000355863
"99",9695,"Laurel Ready Mix Concrete","5501 Van Dusen Rd","Laurel,MD,20707","Prince George's","Settlement Agreement","SA-19-2565","12/14/2018","12/26/2018","Surface Water Discharge Permit","Industrial Minor",39.0800022570581,-76.9122831185044
"100",9791,"Maryland State Police Aviation - Washington","East Perimeter Rd, Bldg 2487","Andrews Airforce Base,MD,20762","Prince George's","Penalty Settlement","C-13-1841","01/18/2013","03/18/2013","Sediment",NA,38.8060143872668,-76.8564195706595
"101",10400,"Patuxent Water Reclamation Facility","1640 Professional blvd","Crofton,MD,21114","Anne Arundel","Stipulated Penalty","CO-12-1581","09/17/2013","11/22/2017","Surface Water Discharge Permit;Surface Water Discharge Unauthorized","Collection System (SSO)",39.0173559862753,-76.7015779838253
"102",10400,"Patuxent Water Reclamation Facility","1640 Professional blvd","Crofton,MD,21114","Anne Arundel","Consent Order","CO-12-1581","02/03/2012","11/22/2017","Surface Water Discharge Permit","Municipal Major",39.0173559862753,-76.7015779838253
"103",10585,"Calvert County Board Of Commissioners","401 Sweetwater Rd","Lusby,MD,20657","Calvert","Settlement Agreement","SAP-14-2086","05/01/2014","05/28/2014","Surface Water Discharge Permit","Industrial Stormwater",38.3825499932808,-76.4439799711534
"104",10610,"West Nottingham Academy","1079 Firetower Road","Colora,MD,21917","Cecil","Consent Order","CO-14-2092","06/16/2014",NA,"Groundwater Discharge Permit","Municipal Minor",39.6693460129887,-76.0792560390668
"105",10856,"Toyota Motor Sales, USA, Inc","6710 Baymeadow Dr","Glen Burnie,MD,21060","Anne Arundel","Penalty Settlement","PS-20-2606","08/26/2019","09/26/2019","Surface Water Discharge Unauthorized",NA,39.1908589934586,-76.5986300245926
"106",11104,"Davidsonville Transmitter Site","3290 Bottner Road","Gambrills,MD,21054","Anne Arundel","Penalty Settlement","C-13-1845","03/08/2013","04/08/2013","Sediment",NA,38.966689980359,-76.6830200315272
"107",11313,"Hampstead WWTP","4455 Northwoods Trail","Hampstead,MD,21074","Carroll","Consent Decree","CJ-07-0362","08/06/2006",NA,"Surface Water Discharge Permit",NA,39.5972909763908,-76.8371872746371
"108",11313,"Hampstead WWTP","4455 Northwoods Trail","Hampstead,MD,21074","Carroll","Consent Order","CO-19-2591","04/16/2019",NA,"Surface Water Discharge Permit","Municipal Minor",39.5972909763908,-76.8371872746371
"109",11652,"Aberdeen Advanced Wastewater Treatment Plant","361 Michaels Lane","Aberdeen,MD,21001","Harford","Consent Order","CO-12-1565","01/18/2012","12/14/2015","Surface Water Discharge Permit","Municipal Major",39.5086089801861,-76.1491900294626
"110",17910,"Liberty Square Shopping Center","8700 Liberty Road","Randallstown,MD,21133","Baltimore","Penalty Settlement","PS-13-1736","08/13/2012","10/09/2012","Notice of Intent","Notice of Intent (Construction)",39.3640589944145,-76.7828449779118
"111",18299,"Bohemia Manor High School WWTP","2757 Augustine Herman Hwy","Chesapeake City,MD,21915","Cecil","Amended Consent Order","CO-12-1545","01/25/2013","01/09/2014","Surface Water Discharge Permit","Municipal Minor",39.5115040055917,-75.8305199614699
"112",18426,"Mystic Harbour WWTP","9423 Stephen Decatur Hwy.","Berlin,MD,21811","Worcester","Consent Order","COP-13-1825","01/07/2013","11/27/2018","Groundwater Discharge Permit","Municipal Minor",38.3225974931879,-75.1222893610766
"113",18426,"Mystic Harbour WWTP","9423 Stephen Decatur Hwy.","Berlin,MD,21811","Worcester","Stipulated Penalty","SP-19-2556","11/05/2018","11/27/2018","Groundwater Discharge Permit","Municipal Minor",38.3225974931879,-75.1222893610766
"114",18426,"Mystic Harbour WWTP","9423 Stephen Decatur Hwy.","Berlin,MD,21811","Worcester","Penalty Settlement","PS-19-2563","12/12/2018","01/08/2019","Groundwater Discharge Permit","Municipal Minor",38.3225974931879,-75.1222893610766
"115",18549,"City of Bowie WWTP","16550 Annapolis Rd","Bowie,MD,20715","Prince George's",NA,NA,NA,"09/14/2014","Not Assigned",NA,38.9943558348854,-76.7214761192212
