"","Site.No","Site.Name","Street.Address","City..State.Zip","County","Inspection.Type","Inspection.Date","Permit.No","NPDES.No","Complaint.Tracking.No","Inspection.Reason","Site.Status","Site.Condition","Recommended.Actions","Compliance.Assist.","Latitude","Longitude"
"16",74131,"Colonial Pipeline Co/mo, Ho And Cl","CPC ROWE IN MO, HO & CL COUNTIES","Mo, Ho Cl Counties,MD","Montgomery","Nontidal Wetlands","07/27/2016","04-NT-0313",NA,NA,NA,"Complete","Satisfactory/Compliance","Close File","N",NA,NA
"17",145066,"UMUC(UMCP Renovation of the Edward St. John Learning & Teaching Center)","0600 Service Building , Department of Architecture, Engineering and Construction, Edward St. John Learning Center","College Park,MD,20740","Prince George's","NPDES Construction Activity","08/02/2016","14-SF-0181","MDRCQS05B",NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"18",145066,"UMUC(UMCP Renovation of the Edward St. John Learning & Teaching Center)","0600 Service Building , Department of Architecture, Engineering and Construction, Edward St. John Learning Center","College Park,MD,20740","Prince George's","State_federal SWM","08/02/2016","14-SF-0181","MDRCQS05B",NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"19",137894,"Towson University - Osler Drive","Towson University - Osler Drive, adjacent to the driveway to the Union Garage off of Osler Drive, just south of intersection, with Towsontown Bld","Towson,MD,21284","Baltimore","Waterway Construction","08/05/2016","13-NT-0048",NA,NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"20",144271,"FR DPW-Bridge No F-20-04-Lewistown Road","Lewistown Road over Fishing Creek, Lewistown Road approximately 0.5 miles east of Hessong Bridge Road.","Thurmont,MD,21788","Frederick","Waterway Construction","08/08/2016","14-NT-3253",NA,NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"21",152348,"Bowman Oakridge Mills","situate along the E side of MD Rte 63, N of the intersection with Oakridge Dr,, across from E. Russel Hicks Middle School","Hagerstown,MD,21740","Washington","NPDES Construction Activity","08/15/2016","16-WA-0116","MDRCV02CF",NA,NA,"Active","Noncompliance","Continue Routine Inspection","N",NA,NA
"22",152348,"Bowman Oakridge Mills","situate along the E side of MD Rte 63, N of the intersection with Oakridge Dr,, across from E. Russel Hicks Middle School","Hagerstown,MD,21740","Washington","Sediment_Erosion","08/15/2016","16-WA-0116","MDRCV02CF",NA,NA,"Active","Noncompliance","Continue Routine Inspection","N",NA,NA
"23",148171,"NASA Goddard - Water Tower Revelopment Project","Bldg 16 & 86 on NASA Goddard Space Flight Center Campus, at the intersection of Tiros and Hubble Rds, 38.996834,-76.847224","Greenbelt,MD,20771","Prince George's","NPDES Construction Activity","08/15/2016","15-SF-0289","MDRCQF03E",NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"24",148171,"NASA Goddard - Water Tower Revelopment Project","Bldg 16 & 86 on NASA Goddard Space Flight Center Campus, at the intersection of Tiros and Hubble Rds, 38.996834,-76.847224","Greenbelt,MD,20771","Prince George's","State_federal SWM","08/15/2016","15-SF-0289","MDRCQF03E",NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"25",139689,"MR Hillcrest 1 Capital LLC-Monument Village at College Park West","Cherokee Street and Autoville Drive intersection, Immediately west of the intersection between Cherokee Street and Autoville Drive","College Park,MD,20740","Prince George's","Nontidal Wetlands","08/17/2016","13-NT-0146",NA,NA,NA,"Active - No work today","Noncompliance","Continue Routine Inspection","N",NA,NA
"26",139689,"MR Hillcrest 1 Capital LLC-Monument Village at College Park West","Cherokee Street and Autoville Drive intersection, Immediately west of the intersection between Cherokee Street and Autoville Drive","College Park,MD,20740","Prince George's","Waterway Construction","08/17/2016","13-NT-0146",NA,NA,NA,"Active - No work today","Noncompliance","Continue Routine Inspection","N",NA,NA
"27",136901,"Casselman River Partners LLC","From Durst Road at the Casselman crossing, follow dirt road along Casselman River approximately, 4800 feet west to a large meander bend","Grantsville,MD,21536","Garrett","Waterway Construction","08/26/2016","15-NT-3066,16-GA-0001",NA,NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"28",136901,"Casselman River Partners LLC","From Durst Road at the Casselman crossing, follow dirt road along Casselman River approximately, 4800 feet west to a large meander bend","Grantsville,MD,21536","Garrett","Sediment_Erosion","08/26/2016","15-NT-3066,16-GA-0001",NA,NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"29",139689,"MR Hillcrest 1 Capital LLC-Monument Village at College Park West","Cherokee Street and Autoville Drive intersection, Immediately west of the intersection between Cherokee Street and Autoville Drive","College Park,MD,20740","Prince George's","Nontidal Wetlands","08/31/2016","13-NT-0146",NA,NA,NA,"Active - No work today","Satisfactory/Compliance","Continue Routine Inspection","Y",NA,NA
"30",139689,"MR Hillcrest 1 Capital LLC-Monument Village at College Park West","Cherokee Street and Autoville Drive intersection, Immediately west of the intersection between Cherokee Street and Autoville Drive","College Park,MD,20740","Prince George's","Waterway Construction","08/31/2016","13-NT-0146",NA,NA,NA,"Active - No work today","Satisfactory/Compliance","Continue Routine Inspection","Y",NA,NA
"31",137894,"Towson University - Osler Drive","Towson University - Osler Drive, adjacent to the driveway to the Union Garage off of Osler Drive, just south of intersection, with Towsontown Bld","Towson,MD,21284","Baltimore","Waterway Construction","09/02/2016","13-NT-0048",NA,NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"32",145066,"UMUC(UMCP Renovation of the Edward St. John Learning & Teaching Center)","0600 Service Building , Department of Architecture, Engineering and Construction, Edward St. John Learning Center","College Park,MD,20740","Prince George's","State_federal SWM","09/15/2016","14-SF-0181","MDRCQS05B",NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"33",145066,"UMUC(UMCP Renovation of the Edward St. John Learning & Teaching Center)","0600 Service Building , Department of Architecture, Engineering and Construction, Edward St. John Learning Center","College Park,MD,20740","Prince George's","NPDES Construction Activity","09/15/2016","14-SF-0181","MDRCQS05B",NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"34",138104,"City of Frederick-Christophers Crossing","0.7 mi from the intersection the Opossumtown Pike and Poole Jones Rd. 250 yds off of Poole Jones Rd, along stream","Frederick,MD,21702","Frederick","Waterway Construction","09/19/2016","15-NT-3032",NA,NA,NA,"Complete","Satisfactory/Compliance","Close File","N",NA,NA
"35",139689,"MR Hillcrest 1 Capital LLC-Monument Village at College Park West","Cherokee Street and Autoville Drive intersection, Immediately west of the intersection between Cherokee Street and Autoville Drive","College Park,MD,20740","Prince George's","Nontidal Wetlands","09/26/2016","13-NT-0146",NA,NA,NA,"Complete","Satisfactory/Compliance","Close File","Y",NA,NA
"36",152347,"Dollar General Boonsboro","Situate along the eastern side of Old National Pike (MD Alt 40),, NE of the MD Alt 40 & MD Rte 68 intersection","Boonsboro,MD,21713","Washington","NPDES Construction Activity","10/04/2016","16-WA-0094","MDRCV02CD",NA,NA,"Complete","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"37",152347,"Dollar General Boonsboro","Situate along the eastern side of Old National Pike (MD Alt 40),, NE of the MD Alt 40 & MD Rte 68 intersection","Boonsboro,MD,21713","Washington","Sediment_Erosion","10/04/2016","16-WA-0094","MDRCV02CD",NA,NA,"Complete","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"38",141800,"Fairwind Power Partners","near 3641 King Wildesen Road, along Backbone Mountain south of Oakland, MD. The site is accessable from King Wildesen Road.","Oakland,MD,21550","Garrett","Waterway Construction","10/11/2016","14-NT-3066,15-GA-0131","MDRCL01KE",NA,NA,"Complete","Satisfactory/Compliance","Close File","N",NA,NA
"39",141800,"Fairwind Power Partners","near 3641 King Wildesen Road, along Backbone Mountain south of Oakland, MD. The site is accessable from King Wildesen Road.","Oakland,MD,21550","Garrett","NPDES Construction Activity","10/11/2016","14-NT-3066,15-GA-0131","MDRCL01KE",NA,NA,"Complete","Satisfactory/Compliance","Close File","N",NA,NA
"40",141800,"Fairwind Power Partners","near 3641 King Wildesen Road, along Backbone Mountain south of Oakland, MD. The site is accessable from King Wildesen Road.","Oakland,MD,21550","Garrett","Sediment_Erosion","10/11/2016","14-NT-3066,15-GA-0131","MDRCL01KE",NA,NA,"Complete","Satisfactory/Compliance","Close File","N",NA,NA
"41",142582,"City of Frederick-Waterford Park","Waterford Park, Located on Rosemont Avenue, West of Frederick Freeway, MD 15, across from Biggs Avenue","Frederick,MD,21701","Frederick","Waterway Construction","10/12/2016","14-NT-3122","MDRCK01M4",NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"42",142582,"City of Frederick-Waterford Park","Waterford Park, Located on Rosemont Avenue, West of Frederick Freeway, MD 15, across from Biggs Avenue","Frederick,MD,21701","Frederick","NPDES Construction Activity","10/12/2016","14-NT-3122","MDRCK01M4",NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"43",148171,"NASA Goddard - Water Tower Revelopment Project","Bldg 16 & 86 on NASA Goddard Space Flight Center Campus, at the intersection of Tiros and Hubble Rds, 38.996834,-76.847224","Greenbelt,MD,20771","Prince George's","State_federal SWM","10/20/2016","15-SF-0289","MDRCQF03E",NA,NA,"Inactive","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"44",148171,"NASA Goddard - Water Tower Revelopment Project","Bldg 16 & 86 on NASA Goddard Space Flight Center Campus, at the intersection of Tiros and Hubble Rds, 38.996834,-76.847224","Greenbelt,MD,20771","Prince George's","NPDES Construction Activity","10/20/2016","15-SF-0289","MDRCQF03E",NA,NA,"Inactive","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"45",146044,"HO DPW - Bonnie Branch Road - Phase II","Bonnie Branch Road, Meeting location on shoulder of Bonnie Branch Road approx. 800 ft SW of intersection of College Ave","Ellicott City,MD,21043","Howard","Nontidal Wetlands","10/25/2016","15-NT-3245","MDRCN020I",NA,NA,"Inactive","Additional Investigation Required","Continue Routine Inspection","N",NA,NA
"46",146044,"HO DPW - Bonnie Branch Road - Phase II","Bonnie Branch Road, Meeting location on shoulder of Bonnie Branch Road approx. 800 ft SW of intersection of College Ave","Ellicott City,MD,21043","Howard","NPDES Construction Activity","10/25/2016","15-NT-3245","MDRCN020I",NA,NA,"Inactive","Additional Investigation Required","Continue Routine Inspection","N",NA,NA
"47",139123,"WSSC-Piney Branch Road","Piney Branch Road, Northwest branch of the Anacostia River, Rte 650 south to Rt 320, turn right for 100 ft.","Adelphi,MD,20783","Prince George's","Nontidal Wetlands","11/01/2016","12-NT-0443",NA,NA,NA,"Inactive","Additional Investigation Required","Additional Investigation Required","Y",NA,NA
"48",146044,"HO DPW - Bonnie Branch Road - Phase II","Bonnie Branch Road, Meeting location on shoulder of Bonnie Branch Road approx. 800 ft SW of intersection of College Ave","Ellicott City,MD,21043","Howard","Nontidal Wetlands","11/07/2016","15-NT-3245","MDRCN020I",NA,NA,"Active - No work today","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"49",146044,"HO DPW - Bonnie Branch Road - Phase II","Bonnie Branch Road, Meeting location on shoulder of Bonnie Branch Road approx. 800 ft SW of intersection of College Ave","Ellicott City,MD,21043","Howard","NPDES Construction Activity","11/07/2016","15-NT-3245","MDRCN020I",NA,NA,"Active - No work today","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"50",137915,"CH Govt-St Charles Parkway and Billingsley Road","Billingsley Road and St. Charles Parkway, 1.5 acres at southeast corner of Billngsley Road and St. Charles Parkway","Saint Charles,MD,20602","Charles","Nontidal Wetlands","11/09/2016","13-NT-0267",NA,NA,NA,"Inactive","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"51",137894,"Towson University - Osler Drive","Towson University - Osler Drive, adjacent to the driveway to the Union Garage off of Osler Drive, just south of intersection, with Towsontown Bld","Towson,MD,21284","Baltimore","Waterway Construction","11/10/2016","13-NT-0048",NA,NA,NA,"Active - No work today","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"52",148171,"NASA Goddard - Water Tower Revelopment Project","Bldg 16 & 86 on NASA Goddard Space Flight Center Campus, at the intersection of Tiros and Hubble Rds, 38.996834,-76.847224","Greenbelt,MD,20771","Prince George's","NPDES Construction Activity","11/21/2016","15-SF-0289","MDRCQF03E",NA,NA,"Complete","Satisfactory/Compliance","Close File,Continue Routine Inspection","N",NA,NA
"53",148171,"NASA Goddard - Water Tower Revelopment Project","Bldg 16 & 86 on NASA Goddard Space Flight Center Campus, at the intersection of Tiros and Hubble Rds, 38.996834,-76.847224","Greenbelt,MD,20771","Prince George's","State_federal SWM","11/21/2016","15-SF-0289","MDRCQF03E",NA,NA,"Complete","Satisfactory/Compliance","Close File,Continue Routine Inspection","N",NA,NA
"54",152347,"Dollar General Boonsboro","Situate along the eastern side of Old National Pike (MD Alt 40),, NE of the MD Alt 40 & MD Rte 68 intersection","Boonsboro,MD,21713","Washington","NPDES Construction Activity","11/21/2016","16-WA-0094","MDRCV02CD",NA,NA,"Complete","Satisfactory/Compliance","Close File","N",NA,NA
"55",152347,"Dollar General Boonsboro","Situate along the eastern side of Old National Pike (MD Alt 40),, NE of the MD Alt 40 & MD Rte 68 intersection","Boonsboro,MD,21713","Washington","Sediment_Erosion","11/21/2016","16-WA-0094","MDRCV02CD",NA,NA,"Complete","Satisfactory/Compliance","Close File","N",NA,NA
"56",141280,"MO DEP-Gunners Lake","Wisteria Drive, North of Wisteria Drive, approximately 2/3 mi. southeast of the intersectionof Wisteria Dr and MD119","Germantown,MD,20874","Montgomery","NPDES Construction Activity","11/28/2016","14-NT-3052","MDRCP01AR",NA,NA,"Complete","Satisfactory/Compliance","Additional Investigation Required","N",NA,NA
"57",141280,"MO DEP-Gunners Lake","Wisteria Drive, North of Wisteria Drive, approximately 2/3 mi. southeast of the intersectionof Wisteria Dr and MD119","Germantown,MD,20874","Montgomery","Waterway Construction","11/28/2016","14-NT-3052","MDRCP01AR",NA,NA,"Complete","Satisfactory/Compliance","Additional Investigation Required","N",NA,NA
"58",141280,"MO DEP-Gunners Lake","Wisteria Drive, North of Wisteria Drive, approximately 2/3 mi. southeast of the intersectionof Wisteria Dr and MD119","Germantown,MD,20874","Montgomery","Nontidal Wetlands","11/28/2016","14-NT-3052","MDRCP01AR",NA,NA,"Complete","Satisfactory/Compliance","Additional Investigation Required","N",NA,NA
"59",150515,"Mattawoman Energy- Laterals","Reclaimed Water along Farmington Berry Accokeek Brandywine Rds & pump station., Gas Line between ex interstate gas line south in Charles County and MEPP & gate station., Transmission between MEPP Brandywine Rd to Cherry Tree Crossing Rd & switchyard.","Brandywine,MD,21037","Prince George's","NPDES Construction Activity","12/08/2016",NA,"MDRCY01XU",NA,NA,"Active","Noncompliance","Continue Routine Inspection,Refer to Others (See Findings)","N",NA,NA
"60",137646,"BGE","Gwynns Falls N of Washington Blvd, Gwynns Falls x-ing is located 100 yards SE of CNX railway bridge over Gwynns Falls, W of Carroll, Park Golf Course, N Washington Blvd","Baltimore City,MD,21230","Baltimore City","Nontidal Wetlands","12/08/2016","13-NT-0095",NA,NA,NA,"Inactive","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"61",139866,"BGE-Westport to Wilkens","Gwynns Falls north of Washington Blvd, south of Wilkens Ave, West on WIlkens, left on S.Dukeland, left on Wilmarco Av,. Site is on left of the Trail 100 yds past, railway bridge","Baltimore,MD,21201","Baltimore City","Nontidal Wetlands","12/08/2016","13-NT-0095",NA,NA,NA,"Inactive","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"62",136901,"Casselman River Partners LLC","From Durst Road at the Casselman crossing, follow dirt road along Casselman River approximately, 4800 feet west to a large meander bend","Grantsville,MD,21536","Garrett","Sediment_Erosion","12/09/2016","15-NT-3066,16-GA-0001",NA,NA,NA,"Complete","Satisfactory/Compliance","Close File","N",NA,NA
"63",136901,"Casselman River Partners LLC","From Durst Road at the Casselman crossing, follow dirt road along Casselman River approximately, 4800 feet west to a large meander bend","Grantsville,MD,21536","Garrett","Waterway Construction","12/09/2016","15-NT-3066,16-GA-0001",NA,NA,NA,"Complete","Satisfactory/Compliance","Close File","N",NA,NA
"64",139123,"WSSC-Piney Branch Road","Piney Branch Road, Northwest branch of the Anacostia River, Rte 650 south to Rt 320, turn right for 100 ft.","Adelphi,MD,20783","Prince George's","Nontidal Wetlands","01/20/2017","12-NT-0443",NA,NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"65",150515,"Mattawoman Energy- Laterals","Reclaimed Water along Farmington Berry Accokeek Brandywine Rds & pump station., Gas Line between ex interstate gas line south in Charles County and MEPP & gate station., Transmission between MEPP Brandywine Rd to Cherry Tree Crossing Rd & switchyard.","Brandywine,MD,21037","Prince George's","NPDES Construction Activity","01/20/2017",NA,"MDRCY01XU",NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","Y",NA,NA
"66",137894,"Towson University - Osler Drive","Towson University - Osler Drive, adjacent to the driveway to the Union Garage off of Osler Drive, just south of intersection, with Towsontown Bld","Towson,MD,21284","Baltimore","Waterway Construction","01/27/2017","13-NT-0048",NA,NA,NA,"Active - No work today","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"67",142034,"East Campus Visitor Control Point - M","Applewood and Parks Golf Courses at Fort George G Meade,, off of Rockenbach Rd, 39.1113708 -76.7538287","Fort George G. Meade,MD,20755","Anne Arundel","NPDES Construction Activity","02/03/2017","14-SF-0063",NA,NA,NA,"Active - No work today","Noncompliance","Continue Routine Investigation","N",NA,NA
"68",142034,"East Campus Visitor Control Point - M","Applewood and Parks Golf Courses at Fort George G Meade,, off of Rockenbach Rd, 39.1113708 -76.7538287","Fort George G. Meade,MD,20755","Anne Arundel","State_federal SWM","02/03/2017","14-SF-0063",NA,NA,NA,"Active - No work today","Noncompliance","Continue Routine Investigation","N",NA,NA
"69",151324,"Pearce Creek Water Service Area Transmission Main and Distribution System","project is located along Crystal Beach Rd (Rte 282), Grove Neck Rd, Pond Neck Rd,, and streets within West View Shores, Bay View Estates, Sunset Point","Cecilton,MD,21919","Cecil","NPDES Construction Activity","02/07/2017",NA,"MDRCH0230","17-4165",NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"70",151324,"Pearce Creek Water Service Area Transmission Main and Distribution System","project is located along Crystal Beach Rd (Rte 282), Grove Neck Rd, Pond Neck Rd,, and streets within West View Shores, Bay View Estates, Sunset Point","Cecilton,MD,21919","Cecil","Sediment_Erosion","02/07/2017",NA,"MDRCH0230","17-4165",NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"71",139123,"WSSC-Piney Branch Road","Piney Branch Road, Northwest branch of the Anacostia River, Rte 650 south to Rt 320, turn right for 100 ft.","Adelphi,MD,20783","Prince George's","Nontidal Wetlands","02/10/2017","12-NT-0443",NA,NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
"72",149126,"UM Shady Grove/Bio Science and Engineering Bldg.","Facility Management Dept of Design and Construction, Attn: Christopher Y. Hoe, P.E., 0600 Service Buillding","College Park,MD,20742","Prince George's","State_federal SWM","02/14/2017","15-NT-3223,16-SF-0044","MDRCPS0DD",NA,NA,"Active","Noncompliance","Continue Routine Inspection","N",NA,NA
"73",149126,"UM Shady Grove/Bio Science and Engineering Bldg.","Facility Management Dept of Design and Construction, Attn: Christopher Y. Hoe, P.E., 0600 Service Buillding","College Park,MD,20742","Prince George's","Nontidal Wetlands","02/14/2017","15-NT-3223,16-SF-0044","MDRCPS0DD",NA,NA,"Active","Noncompliance","Continue Routine Inspection","N",NA,NA
"74",149126,"UM Shady Grove/Bio Science and Engineering Bldg.","Facility Management Dept of Design and Construction, Attn: Christopher Y. Hoe, P.E., 0600 Service Buillding","College Park,MD,20742","Prince George's","NPDES Construction Activity","02/14/2017","15-NT-3223,16-SF-0044","MDRCPS0DD",NA,NA,"Active","Noncompliance","Continue Routine Inspection","N",NA,NA
"75",149126,"UM Shady Grove/Bio Science and Engineering Bldg.","Facility Management Dept of Design and Construction, Attn: Christopher Y. Hoe, P.E., 0600 Service Buillding","College Park,MD,20742","Prince George's","State_federal SWM","02/21/2017","15-NT-3223,16-SF-0044","MDRCPS0DD",NA,NA,"Active","Compliance Assistance Rendered","Continue Routine Inspection","Y",NA,NA
"76",149126,"UM Shady Grove/Bio Science and Engineering Bldg.","Facility Management Dept of Design and Construction, Attn: Christopher Y. Hoe, P.E., 0600 Service Buillding","College Park,MD,20742","Prince George's","Nontidal Wetlands","02/21/2017","15-NT-3223,16-SF-0044","MDRCPS0DD",NA,NA,"Active","Compliance Assistance Rendered","Continue Routine Inspection","Y",NA,NA
"77",149126,"UM Shady Grove/Bio Science and Engineering Bldg.","Facility Management Dept of Design and Construction, Attn: Christopher Y. Hoe, P.E., 0600 Service Buillding","College Park,MD,20742","Prince George's","NPDES Construction Activity","02/21/2017","15-NT-3223,16-SF-0044","MDRCPS0DD",NA,NA,"Active","Compliance Assistance Rendered","Continue Routine Inspection","Y",NA,NA
"78",151365,"West Road Poultry Houses","on the NE corner of N West Rd and Naylor Mill Rd,, approximately 1,200 feet N from its intersection to Rte 50,, Salisbury Bypass, Naylor Mill Rd off-ramp intersection","Salisbury,MD,21801","Wicomico","Sediment_Erosion","02/23/2017","16-WI-0153","MDRCW0243",NA,NA,"Inactive","Satisfactory/Compliance","Continue Routine Inspection","Y",NA,NA
"79",151365,"West Road Poultry Houses","on the NE corner of N West Rd and Naylor Mill Rd,, approximately 1,200 feet N from its intersection to Rte 50,, Salisbury Bypass, Naylor Mill Rd off-ramp intersection","Salisbury,MD,21801","Wicomico","NPDES Construction Activity","02/23/2017","16-WI-0153","MDRCW0243",NA,NA,"Inactive","Satisfactory/Compliance","Continue Routine Inspection","Y",NA,NA
"80",145066,"UMUC(UMCP Renovation of the Edward St. John Learning & Teaching Center)","0600 Service Building , Department of Architecture, Engineering and Construction, Edward St. John Learning Center","College Park,MD,20740","Prince George's","NPDES Construction Activity","03/02/2017","14-SF-0181","MDRCQS05B",NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA
