"","Site.No","Site.Name","Street.Address","County","City..State.Zip","Type"
"23",1792,"US Coast Guard Yard (USCG Yard)","2401 Hawkins Point Rd","Anne Arundel","Curtis Bay,MD,21226","Violation"
"24",1806,"National Institutes of Health","9000 Rockville Pike, Bldg 13 Rm 2W64, 38.99683°, -77.10376°","Montgomery","Bethesda,MD,20892","Violation"
"25",1839,"Project - Fort George G. Meade","2212 Chisholm Avenue","Anne Arundel","Fort George G. Meade,MD,20755-5115","Violation"
"26",1842,"NASA Goddard Space Flight Center","8800 Greenbelt Rd, Attn: Code 250","Prince George's","Greenbelt,MD,20771","Violation"
"27",1852,"Altium Packaging","7100 E Baltimore Street","Baltimore","Baltimore,MD,21224","Violation"
"28",1872,"Westminster City Of","City Hall","Carroll","Westminster,MD,21157","Violation"
"29",1873,"Luke Paper Company","300 Pratt Street","Allegany","Luke,MD,21540-1099","Violation"
"30",1884,"NRG Vienna Generating Station","4621 Chapel of Ease Road","Dorchester","Vienna,MD,21869","Violation"
"31",1916,"City of Hagerstown WWTP/Pangborn Park Lake Silt Disposal Site","1 Clean Water Circle","Washington","Hagerstown,MD,21740","Violation"
"32",1919,"GenOn Chalk Point LLC Generating Station","25100 Chalk Point Road","Prince George's","Aquasco,MD,20608","Violation"
"33",1974,"Elkton WWTP","200 W Pulaski Hwy","Cecil","Elkton,MD,21921","Violation"
"34",2087,"Perdue AgriBusiness LLC","6906 Zion Church Road","Wicomico","Salisbury,MD,21804","Violation"
"35",2102,"W. R. Grace & Co. - Davison Chemical","5500 Chemical Rd","Baltimore City","Curtis Bay,MD,21226-1698","Violation"
"36",2107,"Eastman Specialties Corporation","10380 Worton Road","Kent","Chestertown,MD,21620","Violation"
"37",2173,"Adell Plastics, Inc","4530 Annapolis Rd","Baltimore","Lansdowne,MD,21227","Violation"
"38",2184,"Congoleum Corporation","2700 Emory Road","Carroll","Finksburg,MD,21048","Violation"
"39",2193,"Alliant Techsystems Operations LLC","55 Thiokol Road","Cecil","Elkton,MD,21921","Violation"
"40",2199,"QRS Recycling","8203 Fischer Road","Baltimore","Dundalk,MD,21222","Violation"
"41",2201,"Murray Corporation","260 Schilling Circle","Baltimore","Hunt Valley,MD,21031","Violation"
"42",2233,"Evonik Corporation","907 Revolution Street","Harford","Havre De Grace,MD,21078","Violation"
"43",2254,"Hi Tech Color Inc","1721 Midway Road","Anne Arundel","Odenton,MD,21113","Violation"
"44",2345,"AMG Resources Corporation","2415 Grays Road","Baltimore","Dundalk,MD,21222","Violation"
"45",2348,"Cristal USA, Inc","3901 Fort Armistead Rd","Baltimore City","Curtis Bay,MD,21226","Violation"
"46",2468,"Brian Baker, Inc","2001 Conowingo Rd","Harford","Bel Air,MD,21014","Violation"
"47",2493,"Solo Cup Operating Corporation","1000 Industrial Park Dr","Caroline","Federalsburg,MD,21632","Violation"
"48",2697,"LKQ Pick Your Part (1206)","8125 Washington Blvd","Howard","Jessup,MD,20794","Violation"
"49",2756,"Cropper Bros Lumber","7504 Main Street","Wicomico","Willards,MD,21874","Violation"
"50",2824,"Prince Specialty Products LLC","610 Pittman Rd","Anne Arundel","Curtis Bay,MD,21226","Violation"
"51",2928,"Hearne-Crown","28410 South Crown Rd","Wicomico","Edenland,MD,21822","Violation"
"52",3034,"Galvco of Maryland, LLC, dba Baltimore Galvanizing","7110 Quad Ave","Baltimore","Rosedale,MD,21237","Violation"
"53",3076,"Patapsco WWTP","3501 Asiatic Ave","Baltimore City","Curtis Bay,MD,21226","Violation"
"54",3101,"Morgantown Station, LLC.","12620 Crain Hwy","Charles","Newburg,MD,20664","Violation"
"55",3183,"Ourisman Honda of Laurel","3371 Fort Meade Rd","Anne Arundel","Laurel,MD,20724","Violation"
"56",3209,"William T. Burnett and Company","2112 Montevideo Road","Anne Arundel","Jessup,MD,20794","Violation"
"57",3293,"Locke Insulators, Inc.","2525 Insulator Drive","Baltimore City","Baltimore,MD,21230-5098","Violation"
"58",3306,"American Aquaculture Holdings, LLC","12041Cordova Road","Talbot","Cordova,MD,21625","Violation"
"59",3412,"World Recycling Company","5600 Columbia Park Road","Prince George's","Cheverly,MD,20785","Violation"
"60",3559,"Cambridge Auto Recycling, Inc","2057 Church Creek Rd","Dorchester","Cambridge,MD,21613","Violation"
"61",3563,"Integrity Recycling, Inc","7921 Philadelphia Rd","Baltimore","Rosedale,MD,21237","Violation"
"62",3630,"Greenlight Biofuels","11508 E Maple Ave","Prince George's","Beltsville,MD,20705","Violation"
"63",3640,"Eden Wood Preserving LLC","28114 Old Eden Road","Wicomico","Fruitland,MD,21826","Violation"
"64",3746,"Choptank Electric Cooperative, Inc.","24820 Meeting House Rd","Caroline","Denton,MD,21629","Violation"
"65",3944,"National Security Agency","9800 Savage Road","Anne Arundel","Fort George G. Meade,MD,20755-6000","Violation"
"66",4013,"Cambridge WWTP","1010 Roslyn Ave","Dorchester","Cambridge,MD,21613","Violation"
"67",4019,"Broadneck Water Reclamation Facility","1340 Log Inn Road","Anne Arundel","Annapolis,MD,21409","Violation"
"68",4107,"Clean Harbors Laurel ,LLC","3527 Whiskey Bottom Road","Anne Arundel","Laurel,MD,20724-1403","Violation"
"69",4116,"C P Crane Generating Station","1001 Carroll Island Rd","Baltimore","Middle River,MD,21220","Violation"
"70",4162,"J Lawrence Nicholson Landfill","23750 Larney Nick Rd","Kent","Chestertown,MD,21620","Violation"
"71",4529,"McCormick & Company, Inc.","10901 Gilroy Road","Baltimore","Hunt Valley,MD,21031","Violation"
"72",4880,"AUTOMOTIVE MACHINE","310 Baltimore Ave","Garrett","Oakland,MD,21550","Violation"
"73",5030,"WSSC Parkway WRRF","10100 Canadian Way","Prince George's","Laurel,MD,20708","Violation"
"74",5034,"WSSC Western Branch WRRF","6600 Crain Hwy","Prince George's","Upper Marlboro,MD,20772","Violation"
"75",5220,"Mid Atlantic Baking Co","3800 E. Baltimore street","Baltimore City","Baltimore,MD,21224","Violation"
"76",5287,"Dominion Energy Cove Point LNG, LP","2100 Cove Point Road","Calvert","Lusby,MD,20657","Violation"
"77",5314,"WSSC Potomac WFP Water Filtration Plant","12200 River Rd","Montgomery","Potomac,MD,20854","Violation"
"78",5315,"WSSC Seneca WRRF","12600 Great Seneca Hwy","Montgomery","Germantown,MD,20874","Violation"
"79",5462,"Salisbury University","1101 Camden Avenue","Wicomico","Salisbury,MD,21801-6860","Violation"
"80",5535,"Chesapeake High School","4798 Mountain Rd","Anne Arundel","Pasadena,MD,21122","Violation"
"81",5821,"Ashburton Water Treatment Plant","3001 Druid Park Drive","Baltimore City","Baltimore,MD,21215","Violation"
"82",6191,"Valley Proteins, Inc. - Linkwood","5420 Linkwood Road","Dorchester","Linkwood,MD,21835","Violation"
"83",6370,"Hollinswood Sunoco","3302 Annapolis Rd","Baltimore City","Baltimore,MD,21230","Violation"
"84",6568,"College Of Southern Maryland","8730 Mitchell Rd","Charles","La Plata,MD,20646","Violation"
"85",6755,"Transaxle (LKQ Easton)","29376 Matthestown Rd","Talbot","Easton,MD,21601","Violation"
"86",7217,"Bohemia Vista Yacht Basin Inc","140 Bohemia Vista Marina Rd","Cecil","Chesapeake City,MD,21915","Violation"
"87",7235,"Koons Easton Toyota","6730 Ocean Gateway","Talbot","Easton,MD,21601","Violation"
"88",7253,"Complete Recycling Group/B&H New & Used Tires","1500 W Pulaski Hwy","Cecil","Elkton,MD,21921","Violation"
"89",7692,"Fairwinds Marina, LLC","1000 Fairwinds Dr","Anne Arundel","Annapolis,MD,21409","Violation"
"90",7713,"Independent Can Company","1300 Brass Mill Road","Harford","Belcamp,MD,21017-0370","Violation"
"91",7992,"Salisbury WWTP/Outwall Diffuser Utility Repair","1142 Marine Road","Wicomico","Salisbury,MD,21801","Violation"
"92",8087,"Potomac German Auto, Inc","4305 Lime Kiln Rd","Frederick","Frederick,MD,21703","Violation"
"93",8134,"Patterson Park Boat Lake","200 S Linwood Ave, 2601 E Baltimore St","Baltimore City","Highlandtown,MD,21224","Violation"
"94",8138,"Sisson St Yard # 10 City Of Baltimore","2840 Sisson St","Baltimore City","Baltimore,MD,21211","Violation"
"95",8453,"Ballenger-McKinney WWTP","7400 Marcie's Choice Lane","Frederick","Frederick,MD,21704","Violation"
"96",8455,"Queenstown WWTP","120 Skipjack Cove Lane","Queen Anne's","Queenstown,MD,21658","Violation"
"97",8596,"CITY OF CUMBERLAND","56 N Liberty St","Allegany","Cumberland,MD,21501-1702","Violation"
"98",8859,"Baltimore City DPW - Fallsway Substation","201 Fallsway","Baltimore City","Baltimore,MD,21202","Violation"
"99",9060,"National Archives & Records Administration","8601 Adelphi Road","Prince George's","College Park,MD,20740-6001","Violation"
"100",9108,"Stevenson University (Villa Julie College) WWTP","1525 Greenspring Valley Rd","Baltimore","Stevenson,MD,21153","Violation"
"101",9124,"Bay Bridge Marina","357 Pier One Road","Queen Anne's","Stevensville,MD,21666","Violation"
"102",9164,"Mount Saint Mary's University","16300 Old Emmitsburg Rd","Frederick","Emmitsburg,MD,21727","Violation"
"103",9165,"Joseph Smith & Sons, Inc","2001 Kenilworth Ave","Prince George's","Capitol Heights,MD,20743","Violation"
"104",9229,"Bel Air High School","100 Heighe St","Harford","Bel Air,MD,21014","Violation"
"105",9256,"John W. Ritter Trucking, Inc","8271 Brock Bridge Rd","Anne Arundel","Laurel,MD,20724-1412","Violation"
"106",9283,"United Iron And Metal, LLC","909 Millington Ave","Baltimore City","Franklin,MD,21223","Violation"
"107",9340,"Paradise Auto Parts, Inc","929 W Pulaski Hwy, Ste A","Cecil","Elkton,MD,21921","Violation"
"108",9359,"Imerys Carbonates USA, Inc.","10000 B Beaver Dam Rd","Baltimore","Cockeysville,MD,21030","Violation"
"109",9440,"Holly Hills Country Club","5502 Mussetter Road","Frederick","Ijamsville,MD,21754","Violation"
"110",9467,"Charles County Municipal Landfill","12305 Billingsley Road","Charles","Waldorf,MD,20602","Violation"
"111",9561,"Bob's Auto Collision, Inc.","4105 Annapolis Road","Baltimore","Halethorpe,MD,21227","Violation"
"112",9680,"Anne Arundel County Dept of Public Works/ Parking Lot","2644 Riva Rd","Anne Arundel","Annapolis,MD,21401","Violation"
"113",9695,"Laurel Ready Mix Concrete","5501 Van Dusen Rd","Prince George's","Laurel,MD,20707","Violation"
"114",9791,"Maryland State Police Aviation - Washington","East Perimeter Rd, Bldg 2487","Prince George's","Andrews Airforce Base,MD,20762","Violation"
"115",10107,"North Caroline High School","10990 River Rd","Caroline","Ridgely,MD,21660","Violation"
"116",10214,"Shoreline Automotive, Inc","29545 Chilcutt Rd","Talbot","Easton,MD,21601","Violation"
"117",10261,"CSX Transportation - Curtis Bay Piers","1910 Benhill Ave","Baltimore City","Curtis Bay,MD,21226","Violation"
"118",10332,"Darnestown Elementary School","15030 Turkey Foot Rd","Montgomery","Darnestown,MD,20878","Violation"
"119",10400,"Patuxent Water Reclamation Facility","1640 Professional blvd","Anne Arundel","Crofton,MD,21114","Violation"
"120",10566,"ExxonMobil Oil Corporation No. 20356","120 Chester Station Lane","Queen Anne's","Chester,MD,21619","Violation"
"121",10585,"Calvert County Board Of Commissioners","401 Sweetwater Rd","Calvert","Lusby,MD,20657","Violation"
"122",10610,"West Nottingham Academy","1079 Firetower Road","Cecil","Colora,MD,21917","Violation"
"123",10856,"Toyota Motor Sales, USA, Inc","6710 Baymeadow Dr","Anne Arundel","Glen Burnie,MD,21060","Violation"
"124",11104,"Davidsonville Transmitter Site","3290 Bottner Road","Anne Arundel","Gambrills,MD,21054","Violation"
"125",11313,"Hampstead WWTP","4455 Northwoods Trail","Carroll","Hampstead,MD,21074","Violation"
"126",11433,"Wawa Food Market 582","2300 E. Churchville Rd","Harford","Bel Air,MD,21015","Violation"
"127",11561,"Oak Hill/DC Department of General Services","8400 RIVER ROAD","Anne Arundel","LAUREL,MD,20724","Violation"
"128",12130,"B & P Environmental LLC","1230 Cronson Blvd.","Anne Arundel","Crofton,MD,21114","Violation"
"129",12934,"12934 Community Rd","12934 Community Rd","Baltimore","Middle River,MD,21220","Violation"
"130",13670,"Quarantine Road Municipal Landfill","6100 Quarantine Road","Baltimore City","Curtis Bay,MD,21226","Violation"
"131",17147,"Vessel at Schaefer's Canal House Marina","208 Bank Street","Cecil","Chesapeake City,MD,21915","Violation"
"132",17715,"Valvoline Instant Oil Change BA-0011","57 Mayo Rd","Anne Arundel","Edgewater,MD,21037","Violation"
"133",17910,"Liberty Square Shopping Center","8700 Liberty Road","Baltimore","Randallstown,MD,21133","Violation"
"134",18340,"Columbia Country Club","7900 Connecticut Ave","Montgomery","Chevy Chase,MD,20815","Violation"
"135",18426,"Mystic Harbour WWTP","9423 Stephen Decatur Hwy.","Worcester","Berlin,MD,21811","Violation"
"136",18549,"City of Bowie WWTP","16550 Annapolis Rd","Prince George's","Bowie,MD,20715","Violation"
"137",18646,"Campus Hills Shopping Center","2300-2400 Churchville Rd","Harford","Churchville,MD,21015","Violation"
"138",18734,"Ocean City WWTP","6405 Seabay Drive","Worcester","Ocean City,MD,21842","Violation"
"139",18826,"Pocomoke City WWTP","1634 Dunn Swamp Road","Worcester","Pocomoke City,MD,21851","Violation"
"140",18838,"Hebron WWTP","26126 Rewastico Rd","Wicomico","Hebron,MD,21830","Violation"
"141",18883,"Joppatowne WWTP","101 Shore Dr","Harford","Joppa,MD,21085","Violation"
"142",18911,"Pompeian Inc.","4201 Pulaski Hwy","Baltimore City","Baltimore,MD,21224","Violation"
"143",18954,"Mattawoman WWTP","5310 Hawthorne Road","Charles","La Plata,MD,20646","Violation"
"144",19004,"CSX Transportation Inc","1910 Benhill Ave, 1915 Benhill Ave","Baltimore City","Baltimore City,MD,21226","Violation"
"145",19069,"Cecil County Central Landfill","758 E old Philadelphia Rd","Cecil","Elkton,MD,21921","Violation"
"146",19072,"La Plata WWTP","6505 Curley Hall Road","Charles","La Plata,MD,20646","Violation"
"147",19080,"Winters Apartments WWTP","Rte 5 at Winters Lane","St. Mary's","Leonardtown,MD,20650","Violation"
"148",19200,"Sandy Hill Camp & Conference and Activity Center","3380 Turkey Point road","Cecil","North East,MD,21901","Violation"
"149",19204,"Queen City Metals & Recycling","220 W. King St","Allegany","Cumberland,MD,21502","Violation"
"150",19206,"Daniel G. Schuster Concrete/Hagerstown Ready Mix Concrete Plant","1000 Sherman Avenue","Washington","Hagerstown,MD,21740","Violation"
"151",19215,"Northern High School WWTP","7881 Flint Hill Rd","Calvert","Owings,MD,20736","Violation"
"152",19253,"Annapolis Bus Company/Towne Transport","2404 Nichols Road","Anne Arundel","Annapolis,MD,21401","Violation"
"153",19262,"Daniel G. Schuster, Inc. - Frederick Plant","530 E South St","Frederick","Frederick,MD,21701","Violation"
"154",19332,"Denton WWTP","650 Legion Rd","Caroline","Denton,MD,21629","Violation"
"155",19367,"Deep Creek Lake WWTP","762 Mayhew Inn Road","Garrett","Oakland,MD,21550","Violation"
"156",19370,"Triumph Industial Park WWTP","505 Blue Ball Road","Cecil","Elkton,MD,21921","Violation"
"157",19407,"Town of Bel Air - DPW","705 E Churchville Rd","Harford","Bel Air,MD,21014","Violation"
"158",19444,"Glen Arm Maintenance Facility WWTP & WTP","12200 Long Green Pike","Baltimore","Glen Arm,MD,21057","Violation"
"159",19481,"Woodsboro WWTP","SE OF WOODSBORO PIKE & WOODSBORO ROAD","Frederick","Woodsboro,MD,21798","Violation"
"160",19497,"Crisfield WWTP","104 7th Street","Somerset","Crisfield,MD,21817","Violation"
"161",19542,"Waste Management of Maryland - Pocomoke","805 Ocean Highway","Worcester","Pocomoke City,MD,21851","Violation"
"162",19594,"Hurlock WWTP","6215 Jones Village Rd","Dorchester","Hurlock,MD,21643","Violation"
"163",19714,"Happy Hills Campground","12617 Seavolt Rd","Washington","Hancock,MD,21750","Violation"
"164",19716,"Chesapeake Beach WWTP","8450 Bayside Rd","Calvert","Chesapeake Beach,MD,20732","Violation"
"165",19722,"NVA Properties, LLC","13400 Edgemeade Rd","Prince George's","Upper Marlboro,MD,20772","Violation"
"166",19730,"Glenelg Country School","12793 Folly Quarter Rd","Howard","Ellicott City,MD,21042","Violation"
"167",19755,"Rhode River Marina","3932 Germantown Rd","Anne Arundel","Edgewater,MD,21037","Violation"
"168",19786,"Colonel Richardson High School","25320 Richardson Rd","Caroline","Federalsburg,MD,21632","Violation"
"169",19791,"Hunter Hill WWTP","13301 Hunter Hill Dr","Washington","Hagerstown,MD,21742","Violation"
"170",19873,"Pleasure Cove Marina","1701 Poplar Ridge Rd","Anne Arundel","Pasadena,MD,21122","Violation"
"171",19880,"Kelly Foods Corporation","10313 OLD OCEAN CITY BLVD","Worcester","Berlin,MD,21811","Violation"
"172",19976,"Strongs Bay Seafood, Inc","1719-A Little Creek Rd","Queen Anne's","Chester,MD,21619","Violation"
"173",20024,"Perryville WWTP","72 Ikea Way","Cecil","Perryville,MD,21903","Violation"
"174",20072,"Concrete General, Inc","8000 Beechcraft Avenue","Montgomery","Gaithersburg,MD,20879","Violation"
"175",20087,"Emmitsburg WWTP","16707 Creamery Road","Frederick","Emmitsburg,MD,21727","Violation"
"176",20095,"Mountain Christian Church","1824 Mountain Road","Harford","Joppa,MD,21085","Violation"
"177",20178,"Schuster Concrete -Monument Street Plant","3625 E Monument Street","Baltimore City","Baltimore,MD,21205","Violation"
"178",20182,"Poolesville WWTP","18901 Fisher Ave.","Montgomery","Poolesville,MD,20837","Violation"
"179",20249,"The Recycling Center","14852 Old Gunpowder Road","Prince George's","Laurel,MD,20707","Violation"
"180",20253,"Calvert County Industrial Park WWTP","300 Skipjack Rd","Calvert","Prince Frederick,MD,20678","Violation"
"181",20293,"Maryland Concrete Septic Tank, Inc","21616 York Rd","Baltimore","Maryland Line,MD,21105","Violation"
"182",20304,"Rockville Fuel and Feed Co., Inc.","14901 Southlawn Lane","Montgomery","Rockville,MD,20850","Violation"
"183",20369,"David Bramble @Campbell Soup Site","27030 Morgnec Road","Kent","Chestertown,MD,21620","Violation"
"184",20433,"Baltimore Yacht Club","800 Baltimore Yacht Club Rd","Baltimore","Essex,MD,21221","Violation"
"185",20487,"Spring Cove Marina","455 Lore Rd","Calvert","Solomons,MD,20688","Violation"
"186",20507,"SO Sanitary District-Ewell WWTP","3786 Smith Island Rd, Smith Island","Somerset","Ewell,MD,21824","Violation"
"187",20568,"Princess Anne WWTP","30353 Linden Avenue","Somerset","Princess Anne,MD,21853","Violation"
"188",20603,"APG-Edgewood Area","Edgewood Area-Aberdeen Proving Ground","Harford","Aberdeen Proving Ground,MD,21010","Violation"
"189",20701,"Perdue Inc","521 Willow St","Wicomico","Salisbury,MD,21801","Violation"
"190",20723,"Camp Shadowbrook","46 Camp Shadowbrook Rd","Cecil","Conowingo,MD,21918","Violation"
"191",20735,"The Nelson Company","2116 Sparrows Point Rd","Baltimore","Edgemere,MD,21219-1798","Violation"
"192",20744,"Hanover Foods Corp","502 Factory Ave","Caroline","Ridgely,MD,21660","Violation"
"193",20765,"Oakland WWTP","27 Oakland Rosedale Rd","Garrett","Oakland,MD,21550","Violation"
"194",20824,"Goose Creek Food Store","10137 Old Ocean City Blvd","Worcester","Berlin,MD,21811","Violation"
"195",20834,"Freedom District WWTP","1301 Raincliff Rd.","Carroll","Sykesville,MD,21784","Violation"
"196",20937,"Back Creek Boat Yard","13836 South Solomons Island Rd","Calvert","Solomons,MD,20688","Violation"
"197",21012,"C & D Concrete - Salisbury","1000 Parsons Rd","Wicomico","Salisbury,MD,21801","Violation"
"198",21037,"Ceco Utilities WWTP","91 Johnstown Road","Cecil","Elkton,MD,21921","Violation"
"199",21041,"Lawrence Street Industry, LLC","3310 Kenilworth Ave","Prince George's","Hyattsville,MD,20781","Violation"
"200",21045,"Worton - Butlertown WWTP","25310 Chinquapin Rd","Kent","Worton,MD,21678","Violation"
"201",21077,"WPN Recycling Company, LLC","5101 Andard Avenue","Baltimore City","Curtis Bay,MD,21226","Violation"
"202",21119,"Frederick City WWTP","100 Treatment Plant Road","Frederick","Frederick,MD,21701","Violation"
"203",21242,"LKQ Pick Your Part (1207)","2801 Hawkins Point Rd","Baltimore City","Baltimore City,MD,21226","Violation"
"204",21750,"Galesville Yacht Yard, Inc.","4805 Riverside Dr","Anne Arundel","Galesville,MD,20765","Violation"
"205",21777,"Waterview Property","3100 Waterview Ave","Baltimore City","Baltimore,MD,21230","Violation"
"206",21825,"Brunswick WWTP","20 C&O Canal Tow Path Rd, E","Frederick","Brunswick,MD,21716","Violation"
"207",21829,"Millington WWTP","227 Sassafras St","Queen Anne's","Millington,MD,21651","Violation"
"208",21831,"Boone's Mobile Estates WWTP","1091 Marlboro Rd","Anne Arundel","Lothian,MD,20711","Violation"
"209",21834,"Leonardtown WWTP","22620 Van Wert lane","St. Mary's","Leonardtown,MD,20650","Violation"
"210",21835,"Delmar WWTP","30055 Connelly Mill Road","Wicomico","Delmar,MD,21875","Violation"
"211",21838,"Woodlawn Mobile Home Estates WWTP","385 Camp Meeting Ground Rd","Cecil","Port Deposit,MD,21904","Violation"
"212",21839,"New Windsor WWTP","Water St","Carroll","New Windsor,MD,21776","Violation"
"213",21841,"Oxford WWTP","103 J. L. Thompson Dr","Talbot","Oxford,MD,21654","Violation"
"214",21842,"I-70 East Rest Area","I-70 East, Mile Marker 39","Frederick","Myersville,MD,21773","Violation"
"215",21843,"Swan Harbor Dell Mobile Home Park","40 Robin Hood Road","Harford","Havre De Grace,MD,21078","Violation"
"216",21850,"Union Bridge WWTP","115 W Locust St","Carroll","Union Bridge,MD,21791","Violation"
"217",21857,"Homestead Mobile Estates WWTP","27 Benjamin Park Dr","Cecil","Port Deposit,MD,21904","Violation"
"218",21858,"Highland View Academy WWTP","10335 Academy Drive","Washington","Hagerstown,MD,21740","Violation"
"219",21865,"Thunderbird Motel WWTP","11050 Crain Hwy","Charles","Newburg,MD,20664","Violation"
"220",21866,"Clear Spring WWTP","13081 Burnie Kinsell Dr","Washington","Clear Spring,MD,21722","Violation"
"221",21868,"Old South Mountain Inn","6132 Old National Pike","Frederick","Boonsboro,MD,21713","Violation"
"222",21876,"Swan Point WWTP","12100 Swan Point Rd","Charles","Issue,MD,20664","Violation"
"223",21877,"Cedar Mobile Home Park WWTP","18240 Lepore Rd","Caroline","Marydel,MD,21649","Violation"
"224",21878,"Talbot County Region V WWTP","21345 Seth Ave","Talbot","Tilghman,MD,21671","Violation"
"225",21881,"Susquehanna Water Filtration Plant","1507 Frenchtown Rd","Cecil","Perryville,MD,21903","Violation"
"226",21898,"Talbot Trailer Park","9538 Black Dog Alley","Talbot","Easton,MD,21601","Violation"
"227",21901,"North Carroll Shopping Plaza","2320 Hanover Pike","Carroll","Hampstead,MD,21074","Violation"
"228",21913,"Baltimore City Water Supply System","Various locations","Baltimore City","Baltimore,MD,21202","Violation"
"229",22049,"Allan Myers MD - Joppa","2203 Old Mountain Rd Central, Old Mountain Rd at Chand Rd","Harford","Joppa,MD,21085","Violation"
"230",22054,"Larry E. Knight, Inc.","12200 Owings Mills Blvd","Baltimore","Glyndon,MD,21071","Violation"
"231",22065,"Daniel G. Schuster Inc.- Jessup","10782 Guilford Road","Howard","Jessup,MD,20794","Violation"
"232",22084,"Green Opportunities Corporation","227 Oldtown Road","Caroline","Goldsboro,MD,21636","Violation"
"233",22091,"General Electric","238 Belvidere Rd","Cecil","Perryville,MD,21903","Violation"
"234",22119,"Howlin Concrete, Inc. - Owings Batch Plant","1038 E Chesapeake Beach Rd","Calvert","Owings,MD,20736","Violation"
"235",22125,"Chaney Enterprises - Seat Pleasant","45 Yost Place","Prince George's","Seat Pleasant,MD,20785","Violation"
"236",22127,"Chaney Enterprises - Upper Marlboro","5200 Chrysler Drive","Prince George's","Upper Marlboro,MD,20772","Violation"
"237",22149,"Dorchester Crab Company","2076 Wingate Bishops Head Rd","Dorchester","Wingate,MD,21675","Violation"
"238",22156,"Three Ann's Seafood","1123 Keys Rd","Dorchester","Fishing Creek,MD,21634","Violation"
"239",22169,"Town of Galena WWTP","13265 Augustine Herman Hwy","Kent","Galena,MD,21635","Violation"
"240",22171,"Chestertown WWTP","25792 John Hanson Rd","Kent","Chestertown,MD,21620","Violation"
"241",22172,"Mount Airy WWTP","7245 Ridge Rd","Carroll","Mount Airy,MD,21771","Violation"
"242",22175,"Marlay-Taylor Water Reclamation Facility","48020 Pine Hill Run Rd.","St. Mary's","Lexington Park,MD,20653","Violation"
"243",22178,"Relax Inn WWTP","9340 Crain Hwy","Charles","Bel Alton,MD,20611","Violation"
"244",22182,"Mountaire Farms, Inc. - Westover Feed Mill","30607 Revells Neck Rd","Somerset","Westover,MD,21871","Violation"
"245",22190,"A & X Steel and Aluminum Co.","2825 Annapolis Rd","Baltimore City","Baltimore,MD,21230","Violation"
"246",22193,"Riddle Farm WWTP","11401 Grays Corner Road","Worcester","Berlin,MD,21811","Violation"
"247",22199,"Rocko Meats","12623 Catoctin Furnace Rd","Frederick","Thurmont,MD,21788","Violation"
"248",22208,"Middletown East WWTP","7320 Holter Rd","Frederick","Middletown,MD,21769","Violation"
"249",22236,"Lions Camp Merrick","3650 Rick Hamilton Place","Charles","Nanjemoy,MD,20662","Violation"
